Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,75.8,39,0,43.31,14.3,0.21,2.95,2.57,7.82,5.37,2.69,1.66,0.83,2.57,1.25,0.56,0.21
2010,76.1,39.5,0,32.82,18.78,0.21,3.95,2.96,10.94,6.32,3.26,2.59,1.87,2.96,1.57,0.58,0.21
2011,74.6,37.7,0,24.68,16.23,0.22,3.51,3.72,11.68,6.27,2.63,1.08,0.58,3.72,2.17,0.57,0.22
2012,74.9,38.9,56.3,15.3,22.16,0.22,4.84,3.94,18.58,8.39,2.74,1.31,0.84,3.94,2.43,0.54,0.22
2013,74.4,36.1,71.4,10.99,16.4,0.2,3.21,5.74,15.51,6.14,2.18,1.03,0.61,5.74,4.08,0.52,0.2
2014,73.3,36.3,71.5,7.22,19.54,0.2,3.85,5.4,21.4,7.2,2.49,0.49,0.29,5.4,3.47,0.55,0.2
2015,72.6,33.8,126.9,19.03,12.47,0.2,2.47,4.04,11.22,4.99,2.39,0.83,0.51,4.04,2.57,0.55,0.2
2016,69.1,32,104,13.81,14.68,0.2,2.94,4.57,12.66,5.85,2.57,1.04,0.73,4.57,2.7,0.57,0.2
2017,69.1,30,95.1,2.44,17.28,0.21,3.59,5.32,17.71,7.1,2.67,0.81,0.59,5.32,3.11,0.62,0.21
2018,70.7,25.6,113.1,0,16.49,0.22,3.71,6.19,21.2,7.82,2.4,0.51,0.4,6.19,3.45,0.67,0.22
