Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,22.6,5,0,21.79,3.68,2.22,8.15,2.63,22.75,20.65,35.15,1.33,1,2.63,0.05,22.86,2.22
2010,22.3,4.4,0,23.51,3.37,2.1,7.07,2.74,19.01,17.56,39.38,1.33,1,2.74,0.09,18.47,2.1
2011,22.4,2.1,0,31.16,1.31,2.18,2.86,3.26,8.63,7.6,15.37,1.17,0.82,3.26,0.18,14.08,2.18
2012,14.2,1.1,0,78.68,-0.06,2.11,-0.13,3.97,-0.49,-0.26,6.91,1.12,0.78,3.97,0.47,10.65,2.11
2013,15.7,1,0,31.82,0.37,2.05,0.75,4.12,3.06,2.55,4.59,1.07,0.75,4.12,0.53,8.27,2.05
2014,17.4,0.2,0,0,-0.27,1.88,-0.51,5.07,-2.35,-0.68,0.47,1.12,0.82,5.07,1.16,6.38,1.88
2015,20.5,2.1,0,60.59,0.56,1.78,0.99,4.89,4.94,3.31,4.42,1.08,0.77,4.89,1.06,5.52,1.78
2016,22.1,3.1,0,36.61,1.74,1.83,3.19,4.32,14.52,8.42,9.04,1.04,0.78,4.32,0.79,5.34,1.83
2017,22.9,2.3,0,20.2,1.71,1.66,2.83,4.74,12.91,7.09,5.49,1.04,0.76,4.74,1.37,4.56,1.66
2018,25.6,5.3,0,10.63,4.33,1.58,6.85,3.73,28.27,14.7,8.95,1.1,0.84,3.73,0.91,4.21,1.58
