Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,37.4,22.1,0,19.78,5.04,0.24,1.19,10.9,11.23,8.94,2.17,1.38,1.38,10.9,1.5,0.34,0.24
2010,37.4,23.6,73.2,0,3.76,0.21,0.79,9.67,8.02,8.58,2.12,1.6,1.6,9.67,5.15,0.31,0.21
2011,24.5,15.8,22.3,4.2,10.39,0.2,2.08,6.11,15.15,7.5,2.82,1.5,1.06,6.11,2.15,0.47,0.2
2012,25.8,16.4,13.6,10.06,11.63,0.19,2.19,5.43,12.53,8.47,2.74,2.16,1.49,5.43,1.7,0.78,0.19
2013,28.4,18.9,27.9,15.81,6.82,0.19,1.28,5.98,7.31,6.47,2.31,0.94,0.43,5.98,1.76,0.69,0.19
2014,37.8,26.1,20.9,18.02,9.54,0.19,1.8,6.34,11.06,7.25,2.84,0.92,0.47,6.34,1.83,0.67,0.19
2015,34.1,20.6,16.1,20.25,16.11,0.15,2.44,6.42,15.6,8.24,3.53,1.23,0.44,6.42,1.99,0.56,0.15
2016,33.9,19,17.2,4.03,11.08,0.15,1.64,6.47,10.58,7.22,2.73,0.76,0.32,6.47,1.87,0.55,0.15
2017,33.7,19.1,24.6,0,6.22,0.16,1.01,7.1,6.89,5.78,1.93,1.09,0.57,7.1,2.19,0.59,0.16
2018,23.9,14.8,119.5,11.87,3.23,0.23,0.75,8.01,5.66,5.2,2.43,0.91,0.49,8.01,2.51,0.83,0.23
