Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,67.4,26.9,0,0,-8.02,0.16,-1.27,3.73,-4.78,1.65,0.57,1.59,1.09,3.73,2.17,0.34,0.16
2010,69.1,31.5,0,0,-17.66,0.18,-3.1,4.28,-12.33,1.26,0.31,1.24,0.39,4.28,2.76,0.38,0.18
2011,71.1,35.3,0,4.64,7.29,0.19,1.41,5.07,6.55,5.86,1.44,1.49,0.39,5.07,3.29,0.42,0.19
2012,70,35.7,0,0,7.64,0.18,1.4,5.47,7.41,4.39,1.2,1.28,0.51,5.47,3.72,0.41,0.18
2013,65.4,31.9,0,67.9,2.61,0.16,0.43,2.97,1.6,2.43,1.59,1.18,0.63,2.97,1.66,0.38,0.16
2014,63.4,28.3,210,0,9.39,0.18,1.66,3.15,5.08,4.42,1.79,1.04,0.56,3.15,1.76,0.41,0.18
2015,63.9,27.2,214.4,0,40.31,0.17,6.84,3.11,21.4,10.04,1.98,1.15,0.58,3.11,1.71,0.39,0.17
2016,63.3,25.5,361.2,4.52,8.26,0.18,1.45,3,4.42,4.07,1.76,1.37,0.97,3,1.6,0.4,0.18
2017,64.1,25.8,316.7,5.53,8.87,0.16,1.41,2.61,3.88,3.76,1.83,0.88,0.55,2.61,1.3,0.38,0.16
2018,65.9,27.4,396.2,2.75,10.29,0.17,1.72,2.72,4.58,4.04,2.11,0.87,0.55,2.72,1.38,0.41,0.17
