Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,59.7,20.2,23.6,28.95,10.17,0.32,3.22,2.64,8.75,7.33,3.17,0.44,0.34,2.64,0.65,1.48,0.32
2010,59.8,21,29.3,39.91,9.58,0.33,3.14,2.67,8.35,6.68,3.83,1.08,0.96,2.67,0.67,1.6,0.33
2011,62.8,19.2,31.1,37.16,7.45,0.4,3.01,3.34,9.08,7.06,4.28,0.65,0.45,3.34,0.8,2.19,0.4
2012,68.1,19.5,28.5,32.25,9.91,0.39,3.84,3.34,12.84,8.97,5.6,1.2,1.07,3.34,0.77,2.28,0.39
2013,69.6,21,31.1,35.81,10.54,0.4,4.21,3.13,13.63,8.99,5.32,0.74,0.62,3.13,0.88,2.27,0.4
2014,69.6,21.7,27.3,31.07,12.18,0.43,5.27,3.02,16.21,10.21,5.76,0.78,0.62,3.02,0.84,2.26,0.43
2015,69.7,21.5,30.5,37.09,10.96,0.46,5.01,3.19,15.55,9.58,5.95,0.68,0.51,3.19,0.94,2.31,0.46
2016,69.6,21,31.5,36.98,10.81,0.46,5.01,3.35,16.37,9.59,5.88,0.76,0.52,3.35,1.03,2.3,0.46
2017,70,21.3,29.3,0,26.87,0.46,12.36,2.73,37.07,19.97,5.96,0.74,0.56,2.73,0.87,2.26,0.46
2018,68.6,20.1,14.2,22.18,12.41,0.43,5.35,3.51,16.73,9.15,5.3,0.79,0.54,3.51,1.5,2.28,0.43
