Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,12.7,2.5,27.5,36.64,1.52,3.35,5.09,2.19,11.31,9.44,16.87,1.11,0.49,2.19,0.22,6.72,3.35
2010,12.8,2.7,26.4,35.59,1.67,3.4,5.69,2.2,12.5,10.74,19.5,1.16,0.56,2.2,0.2,7.02,3.4
2011,12.6,2.8,26.9,35.29,1.64,3.52,5.78,2.23,12.81,11.13,21.54,1.14,0.55,2.23,0.1,7.49,3.52
2012,12.4,2.8,26.5,36.14,1.72,3.68,6.34,2.2,14.03,12.46,30.13,1.1,0.48,2.2,0.11,7.81,3.68
2013,12.6,2.9,24.6,32.45,1.94,3.66,7.1,2.8,17.58,14.04,31.82,1.19,0.55,2.8,0.46,7.84,3.66
2014,12.6,2.9,28.7,34.69,1.83,3.56,6.5,2.68,17.79,12.63,29.29,1.22,0.59,2.68,0.41,7.85,3.56
2015,13,3.1,28.1,33.16,2.05,3.5,7.15,3.15,20.74,13.69,30.06,1.05,0.46,3.15,0.46,7.69,3.5
2016,13.3,3.1,31.2,34.35,1.98,3.56,7.06,2.75,20.71,14.18,28.21,0.98,0.38,2.75,0.34,7.32,3.56
2017,13.3,3.2,32.1,32.81,2.08,3.71,7.71,3.37,23.44,15.78,31.14,0.99,0.41,3.37,0.61,7.33,3.71
2018,13,3.2,30.3,28.43,2.21,3.67,8.12,3.19,26.59,17.44,28.94,1.02,0.45,3.19,0.51,7.48,3.67
