Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,15.8,15.8,19.9,36.21,9.15,0.58,5.27,1.87,10.01,7.7,13.14,1.33,0.93,1.87,0.35,2.06,0.58
2010,17.7,17.7,17.2,34.92,10.41,0.58,5.99,1.84,11.12,8.73,15.53,1.11,0.77,1.84,0.28,2.15,0.58
2011,19,19,15.9,34.63,11.76,0.58,6.8,1.93,12.84,9.88,19.49,1.14,0.77,1.93,0.3,2.18,0.58
2012,21,21,19.8,33.34,13.44,0.58,7.73,1.88,14.73,11.18,20.62,1.07,0.77,1.88,0.28,2.05,0.58
2013,21,21,22.7,31.02,13.62,0.58,7.86,1.79,14.41,11.02,28.56,1.21,0.93,1.79,0.29,2.05,0.58
2014,45.9,23.6,20.6,34.64,15.37,0.59,9.07,1.87,16.6,12.5,42.65,1.14,0.85,1.87,0.28,2.14,0.59
2015,45.9,25.2,37.6,36.17,15.98,0.61,9.73,1.98,18.73,13.9,53.33,1.03,0.75,1.98,0.29,2.16,0.61
2016,46.1,25.8,25.4,34.15,16.88,0.62,10.42,2.13,21.39,15.26,43,1.01,0.81,2.13,0.38,2.12,0.62
2017,45,25.2,27.6,32.07,16.29,0.59,9.56,2.32,21.23,14.21,28.2,0.81,0.65,2.32,0.46,1.98,0.59
2018,44.9,25,21.1,11.29,21.2,0.61,12.96,2.02,27.97,19.24,22.6,0.94,0.76,2.02,0.35,2.05,0.61
