Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,33.7,6.1,0,35.6,3.17,1.67,5.29,2.32,12.74,8.78,6.75,1.2,0.13,2.32,0.54,2.65,1.67
2010,33.9,7.3,65.6,34.2,4.02,1.61,6.49,2.11,14.32,10.62,6.89,1.34,0.23,2.11,0.45,2.56,1.61
2011,34.3,8.6,47,36.7,4.91,1.68,8.24,2.12,17.44,12.7,10.95,1.33,0.16,2.12,0.46,2.69,1.68
2012,34.5,9.5,42.1,36.01,5.52,1.75,9.63,2.26,21.11,14.87,11.01,1.55,0.34,2.26,0.6,2.84,1.75
2013,34.6,10.4,41.1,37.2,6.07,1.83,11.11,2.31,25.42,17.18,12.43,1.34,0.34,2.31,0.53,3.08,1.83
2014,34.8,11.6,39.5,36.4,6.83,1.93,13.2,3.24,35.55,20.89,12.91,1.42,0.31,3.24,1.17,3.32,1.93
2015,34.8,12.6,40.9,36.4,7.63,2.07,15.77,4.29,58.09,24.77,13.02,1.36,0.28,4.29,1.81,3.61,2.07
2016,34.2,13.3,41.9,36.4,7.92,2.14,16.99,6.74,89.64,27.66,12.99,1.36,0.33,6.74,3.31,3.94,2.14
2017,34.2,14.2,43.1,36.3,8.41,2.21,18.61,9.92,149.44,30.76,13.85,1.25,0.32,9.92,5.16,4.29,2.21
2018,34,14.5,46.6,37,8.55,2.31,19.73,30.63,298.25,32.79,13.96,1.17,0.34,30.63,16.69,4.59,2.31
