Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,34.2,7.8,0,37.39,4.55,1.52,6.91,1.81,12.85,9.36,0,1.15,0.08,1.81,0.28,2.19,1.52
2010,34.9,6.6,29.7,36.89,3.75,1.44,5.39,1.73,9.54,8.09,10.29,1.32,0.14,1.73,0.24,2.09,1.44
2011,35.1,7.3,29.6,37.73,4.12,1.46,6.03,1.86,10.81,9.08,10.38,1.4,0.16,1.86,0.36,2.19,1.46
2012,34.6,6.5,37.1,36.72,3.66,1.49,5.47,2.03,10.62,8.48,8.71,1.28,0.16,2.03,0.43,2.28,1.49
2013,34.3,7,35.7,37.55,3.85,1.53,5.87,2.36,12.8,9.38,8.26,1.27,0.09,2.36,0.65,2.33,1.53
2014,34.6,7.8,32.4,37.76,4.25,1.63,6.94,2.76,17.66,11.33,8.65,1.16,0.06,2.76,0.85,2.52,1.63
2015,34.8,8.5,32.3,36.9,4.77,1.74,8.31,3.19,24.58,13.76,9.19,1.08,0.06,3.19,1.08,2.75,1.74
2016,34.8,8.4,32.1,42.39,4.29,1.87,8.03,4.08,28.76,13.7,8.95,1.01,0.07,4.08,1.51,2.98,1.87
2017,34.6,9,45.6,40.53,4.74,1.98,9.39,5.35,43.75,16.33,8.92,1,0.06,5.35,2.24,3.29,1.98
2018,34.1,9.6,36.5,37.2,5.01,1.97,9.86,6.01,55.84,17.04,9.46,1.06,0.06,6.01,2.65,3.46,1.97
