Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,37,3.1,0,0,-11.84,0.24,-2.86,3.28,-10.39,-1.46,-0.16,3.06,2.94,3.28,1.73,0.35,0.24
2010,43.5,17.5,0,8.68,5.95,0.33,1.96,3.54,6.67,4.07,3.79,1.56,1.44,3.54,1.57,0.45,0.33
2011,47.7,25.4,0,10.11,13.49,0.43,5.87,2.83,18.39,8.89,8.4,2.16,2.1,2.83,1.22,0.61,0.43
2012,45.5,22.1,54,8.76,13.69,0.5,6.86,3.14,20.44,9.89,8.98,1.71,1.65,3.14,1.43,0.72,0.5
2013,45.4,24.8,49.6,6.01,16.75,0.61,10.27,2.96,31.32,14.66,12.59,1.76,1.71,2.96,1.22,0.88,0.61
2014,46.9,28.2,55.7,6.38,19.48,0.65,12.6,3.1,38.18,17.75,14.98,1.91,1.85,3.1,1.37,0.95,0.65
2015,47.7,24.6,88.1,9.01,16.82,0.54,9.07,3.08,28.03,13.1,10.89,1.46,1.4,3.08,1.37,0.75,0.54
2016,48.8,22.5,137,10.6,14.64,0.55,8.06,3.31,25.7,11.89,9.23,1.1,1.03,3.31,1.53,0.72,0.55
2017,49.7,27,109.8,0,21.78,0.63,13.64,3.18,44.29,19.67,10.33,1.09,1.03,3.18,1.44,0.82,0.63
2018,49.2,28.4,62,11.27,17.58,0.64,11.16,3.97,39.63,16.31,8.46,1.76,1.7,3.97,2.08,0.9,0.64
