Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,11.3,4.7,0,0,-3.17,1.3,-4.11,6.95,-27.44,-6.76,-2.54,1.25,0.42,6.95,1.96,7.78,1.3
2010,12.6,5.9,17.2,16.88,3.92,1.38,5.42,5.67,33.59,15.07,4.06,1.35,0.57,5.67,1.7,8.76,1.38
2011,10.4,4.3,62.5,44.38,1.61,1.65,2.66,0,49.25,10.18,3.17,0.52,0.38,0,0,9.95,1.65
2012,13.4,8,28.4,32.74,4.83,1.93,9.32,0,0,0,7.2,0.53,0.4,0,0,8.73,1.93
2013,13.4,7.7,28.9,30.21,4.9,1.95,9.53,0,0,0,8.47,0.71,0.45,0,0,8.3,1.95
2014,14.3,8.4,31.5,30.79,5.46,2.02,11.03,0,0,0,10.46,0.63,0.39,0,0,9.19,2.02
2015,14.7,9.3,29.4,31.55,5.93,2.24,13.27,0,0,0,8.52,0.43,0.37,0,0,11.64,2.24
2016,15.4,10.3,39.1,34.12,4.57,1.13,5.16,4.51,88.29,12.67,6.06,0.65,0.49,4.51,1.53,10.15,1.13
2017,16.2,11,34.4,51.62,5.99,0.95,5.71,6.42,30.19,11.56,10.85,0.46,0.4,6.42,2.1,11.09,0.95
2018,17.7,12.1,34.5,18.68,9.19,0.87,8.01,10.65,64.04,18.4,7.9,0.42,0.38,10.65,3.83,11.07,0.87
