Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,38.7,29.8,49.9,29.84,20.01,0.78,15.51,2.15,33.2,20.26,14.71,1.14,0.96,2.15,0.75,1.09,0.78
2010,40,31.2,49.3,29.34,20.55,0.77,15.9,2.19,34.51,20.75,16.53,1.49,1.22,2.19,0.79,1.1,0.77
2011,39.6,31.6,47.8,31.32,20.38,0.83,16.94,2.29,37.92,21.93,17.26,1.25,1.05,2.29,0.84,1.2,0.83
2012,39.2,30.3,53.5,32.36,19.82,0.81,15.98,2.31,36.82,20.9,16.64,1.45,1.09,2.31,0.89,1.16,0.81
2013,38.8,30.3,55.6,31.92,19.87,0.78,15.51,2.29,35.69,20.08,16.72,1.59,1.3,2.29,0.88,1.11,0.78
2014,38.1,29,63.8,35.46,17.34,0.77,13.42,2.67,32.97,17.64,13.92,1.52,1.2,2.67,1.17,1.09,0.77
2015,38.5,28.9,73.6,30.91,17.82,0.7,12.54,5.35,45.43,16.81,11.27,3.27,3.05,5.35,3.4,1.07,0.7
2016,41.4,31.8,66.9,31.74,19.03,0.71,13.59,0,191.93,19.22,8.76,1.39,0.78,0,0,1.11,0.71
2017,46.5,36.8,54.4,39.44,22.75,0.7,16.02,0,0,0,10.31,1.84,1.54,0,0,1.04,0.7
2018,51.3,40.8,61.1,24.2,28.18,0.63,17.79,0,0,0,8.97,1.36,1.11,0,0,0.93,0.63
