Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,35.4,11.5,0,39.72,6.94,2.57,17.86,3.41,42.42,28.1,30.68,1.82,1.41,3.41,1.18,13.02,2.57
2010,37.2,12.8,0,39.91,7.44,2.6,19.36,3.38,65.75,35.38,14.64,1.65,0.9,3.38,0.81,16.62,2.6
2011,36.3,11.7,0,37.1,7.06,1.58,11.16,4.77,48.47,30.1,18.95,1.49,0.65,4.77,0.62,24.19,1.58
2012,27.2,1.4,0,43.73,0.48,1.03,0.49,5.33,2.47,2.57,2.53,1.33,0.45,5.33,0.54,26.93,1.03
2013,29.5,5.2,0,34.3,2.57,0.93,2.4,4.06,10.82,8.97,6.87,1.42,0.56,4.06,0.37,32.98,0.93
2014,31.8,7.3,0,23.63,4.85,0.88,4.28,3.8,16.72,13.39,7.96,1.48,0.6,3.8,0.48,38.84,0.88
2015,32.3,4.5,0,13.56,1.81,0.79,1.42,4.59,6.01,7.17,2.07,1.54,0.65,4.59,1.07,41.94,0.79
2016,31.7,4.3,0,28.34,2.11,0.74,1.57,5.07,7.61,5.12,2.74,1.25,0.38,5.07,1.26,41.67,0.74
2017,34.5,7.2,0,0,4.78,0.72,3.43,5.31,17.85,11.97,3.04,1.4,0.52,5.31,1.81,41.04,0.72
2018,36.9,10.2,0,1.24,7.67,0.7,5.38,4.96,27.46,12.35,3.92,1.49,0.58,4.96,1.98,42.82,0.7
