Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,70.2,21.8,0,0,-7.9,0.09,-0.71,2.52,-2,1.17,1.14,1.36,1.21,2.52,1.18,0,0.09
2010,70.2,18.9,0,0,1.57,0.09,0.14,2.38,0.34,2.27,0.92,1.41,1.3,2.38,1.08,0,0.09
2011,71.3,18.9,294.7,0,-12.27,0.09,-1.07,2.12,-2.33,1.82,0.48,0.62,0.51,2.12,0.87,0.07,0.09
2012,71.6,21.2,0,0,-4.04,0.07,-0.29,2.19,-0.63,1.51,0.82,0.81,0.54,2.19,0.94,0.18,0.07
2013,69.1,17.4,0,31.74,18.02,0.07,1.22,1.81,2.42,2.33,1.92,1.25,1.08,1.81,0.66,19.94,0.07
2014,70.1,18.2,302.3,0,35.34,0.07,2.47,1.86,4.52,3.84,3.42,1.01,0.81,1.86,0.68,20.44,0.07
2015,71.3,17.3,65.3,2.43,39.27,0.08,3.02,2.15,6.06,4.52,4.29,1.49,0.89,2.15,0.8,24.26,0.08
2016,72.5,26.4,99.4,4.05,47.5,0.08,3.9,2.03,8.16,5.69,5.68,2.38,1.69,2.03,0.71,25.72,0.08
2017,72.3,29.5,52.1,3.01,62.71,0.09,5.5,1.89,10.78,7.45,7.98,1.47,0.89,1.89,0.6,24.62,0.09
2018,73,30.2,76.7,3.36,58.6,0.08,4.84,1.73,8.7,6.31,9.74,1.58,0.7,1.73,0.5,25.26,0.08
