Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,62.9,12.7,124.4,9.2,6.44,0.5,3.23,6.54,29.12,9.6,2.5,0.67,0.52,6.54,2.33,19.55,0.5
2010,63.5,17.6,71.3,15.63,10.6,0.54,5.71,5.74,34.94,13.62,3.84,0.66,0.52,5.74,1.95,20.77,0.54
2011,64.6,19.6,67.2,19.09,12.66,0.53,6.71,5.3,36.94,14.89,4.93,0.59,0.46,5.3,1.52,20.73,0.53
2012,65,21.8,47.1,9.52,17.48,0.54,9.5,4.83,48.02,19.61,6.3,0.63,0.5,4.83,1.39,22.16,0.54
2013,64.9,22.3,51.4,6.77,18.39,0.56,10.32,4.39,47.54,21.02,7.64,0.47,0.4,4.39,1.1,24.09,0.56
2014,65.3,23.7,53.5,21.89,16.54,0.54,8.85,5.26,42.48,18.31,9.36,0.49,0.45,5.26,1.5,24.88,0.54
2015,64.3,24,59.7,22.71,16.88,0.54,9.05,5.22,47.44,18.74,9.63,0.46,0.41,5.22,1.53,26.19,0.54
2016,63.9,24.2,56.7,20.64,16.84,0.56,9.47,5.74,52.02,19.56,9.42,0.44,0.4,5.74,1.59,29.28,0.56
2017,64.2,25.4,55.3,3.86,22.56,0.57,12.96,5.22,71,25.16,11.7,0.47,0.43,5.22,1.79,32.62,0.57
2018,64.7,25.8,47,16.98,18.98,0.57,10.82,6.01,60.74,19.84,9.73,0.44,0.39,6.01,2.14,22.36,0.57
