Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,55.8,7.9,0,30.11,4,1.74,6.95,1.83,14.12,10.69,15.3,1.29,0.59,1.83,0.18,3.56,1.74
2010,58.4,12.4,18.6,34.01,8.83,1.79,15.81,1.74,28.14,23.89,44.95,1.55,0.98,1.74,0.15,4.32,1.79
2011,57.7,13,32.1,31.09,10.65,1.7,18.12,1.68,30.91,25.96,55.39,1.83,1.17,1.68,0.13,4.9,1.7
2012,56.3,13.4,35.6,32.75,10.4,1.71,17.76,1.61,29.15,26.54,63.97,1.9,1.14,1.61,0.11,5.31,1.71
2013,28.4,14.8,38.3,0,0.06,1.51,0.08,2.57,0.17,0.21,-7.18,1.02,0.71,2.57,0.29,5.08,1.51
2014,30.1,17,319.3,34.56,12.57,1.48,18.57,2.04,42.41,30.79,50.29,1.37,0.81,2.04,0.39,4.9,1.48
2015,31.1,17.5,34.3,29.3,14.39,1.65,23.77,2.14,49.73,35.86,56.36,1.19,0.64,2.14,0.4,5.04,1.65
2016,31.6,18.1,42.7,32.86,13.22,1.59,21.05,2.44,48.16,31.02,52.64,1.04,0.67,2.44,0.54,4.94,1.59
2017,30.6,17.4,48,33.18,12.89,1.56,20.11,2.64,50.9,29.92,47.68,1.25,0.84,2.64,0.72,4.74,1.56
2018,29.7,15.4,35.8,21.83,18.28,1.28,23.46,20.66,136.51,44.26,34.94,2.2,1.86,20.66,7.77,4.56,1.28
