Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,88.7,42.5,257.1,0,7.5,0.15,1.14,5.88,8.06,5.77,1.39,3.11,3.11,5.88,4.22,0.2,0.15
2010,89.5,45.8,123.8,0.4,15.42,0.16,2.4,5.19,13.27,7.23,1.42,1.04,1.04,5.19,3.65,0.21,0.16
2011,89.9,44.9,107,0.29,23.72,0.17,4,5.69,21.76,8.72,2.27,1.53,1.53,5.69,4.16,0.21,0.17
2012,79.4,45.4,86.8,0.92,29.33,0.17,4.87,5.56,27.34,9.7,2.54,1.03,0.81,5.56,3.94,0,0.17
2013,79.9,46.7,113.2,2.5,25.46,0.16,3.99,5.74,22.56,8.31,2.4,1.13,0.93,5.74,4.06,0,0.16
2014,81.9,49,106.5,1.7,28.85,0.15,4.47,5.85,25.89,8.55,2.66,0.55,0.42,5.85,4.05,0,0.15
2015,81.8,50.7,107.7,0.93,34.64,0.17,6.06,6.92,38.5,10.4,3.34,0.48,0.37,6.92,4.88,0,0.17
2016,82.1,50.1,109.8,1.37,33.77,0.17,5.94,7.29,42.22,9.9,3.52,0.48,0.35,7.29,5.16,0,0.17
2017,82.3,50.6,122.6,1.03,35.11,0.17,6.14,8.85,49.17,9.89,3.8,0.77,0.61,8.85,6.49,0,0.17
2018,82.2,51.5,104.7,1.29,43.07,0.18,7.74,9.43,70.66,12.04,4.5,0.63,0.45,9.43,7.16,0,0.18
