Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,30.3,7.1,22.7,35.74,3.81,1.47,5.61,2.9,17.12,9.29,5.82,1.63,0.81,2.9,0.99,2.56,1.47
2010,30.9,7.8,21,35.04,4.33,1.53,6.62,2.82,18.94,10.77,6.91,1.71,0.78,2.82,1.01,2.65,1.53
2011,30.9,7.6,25.7,34.27,4.19,1.55,6.48,2.95,18.71,11.02,6.13,1.15,0.47,2.95,0.85,2.56,1.55
2012,30.4,7.1,28,34.93,4.09,1.55,6.33,2.91,18.52,9.23,0,1.16,0.13,2.91,0.89,2.45,1.55
2013,29.5,5.3,40.6,36.48,2.72,1.57,4.25,2.74,12.02,6.29,0,0.91,0.16,2.74,0.78,2.34,1.57
2014,29.4,6.2,76,32.96,-2.25,1.69,-3.81,2.96,-10.82,-5.76,0,1.2,0.28,2.96,0.91,2.53,1.69
2015,29.5,6.7,47,32.54,4.56,1.8,8.24,3.11,24.95,12.81,0,1.12,0.38,3.11,0.92,2.88,1.8
2016,29.7,7.2,42.1,32.69,3.94,1.78,7.05,3.42,22.89,11.08,0,0.94,0.26,3.42,1.01,2.79,1.78
2017,28.9,6,50.9,19.69,4.08,1.88,7.68,3.33,25.89,12.49,0,0.95,0.27,3.33,0.97,2.89,1.88
2018,29.3,5.5,41.7,20.29,3.9,1.88,7.32,3.65,25.53,12.81,0,0.83,0.18,3.65,0.9,2.98,1.88
