Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,24.2,7.7,0,36.95,4.63,2.97,13.78,2.89,41.29,29.85,0,1.31,0.22,2.89,0.18,8.57,2.97
2010,26.2,9.8,14.1,37.82,5.98,2.97,17.79,2.58,48.31,37.55,40.6,1.66,0.65,2.58,0.27,9.04,2.97
2011,26.9,10,17.2,38.1,6.12,2.84,17.4,2.57,44.85,35.48,45.15,1.63,0.64,2.57,0.25,9.24,2.84
2012,27.3,10.6,23.6,37.96,6.45,2.85,18.41,2.58,47.43,38.5,52.66,1.68,0.59,2.58,0.24,8.96,2.85
2013,28.4,12,22.8,38.04,7.37,2.91,21.43,2.59,55.47,45.64,76.37,1.52,0.6,2.59,0.21,8.72,2.91
2014,28.5,12.2,13.6,35.61,7.79,2.78,21.69,2.41,54.14,43.39,73.02,1.72,0.75,2.41,0.3,8.04,2.78
2015,28.5,12.4,21.2,37.6,7.62,2.73,20.77,2.61,52.16,39.12,65.1,1.71,0.76,2.61,0.4,7.79,2.73
2016,28.8,12,23.5,37.74,7.36,2.74,20.13,2.67,53.15,38.55,61.7,1.54,0.61,2.67,0.4,7.73,2.74
2017,29,11.6,27.6,38.27,6.93,2.72,18.85,2.86,52.13,35.96,61.37,1.63,0.78,2.86,0.53,7.65,2.72
2018,28.9,11.1,30.9,32.38,7.27,2.66,19.36,2.73,54,36.23,60.98,1.66,0.7,2.73,0.48,7.52,2.66
