Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,24.5,5.6,0,34.19,3.3,2.48,8.2,2.5,20.63,12.36,0,0.88,0.2,2.5,0.53,4.21,2.48
2010,25.4,5.9,30.5,32.35,3.51,2.44,8.58,2.41,21.08,14.22,11.69,0.87,0.22,2.41,0.51,4.12,2.44
2011,25.3,6.1,28.9,32.2,3.89,2.4,9.33,2.64,23.53,15.4,11.67,0.89,0.21,2.64,0.64,4.01,2.4
2012,25,5.9,32.1,32.56,3.51,2.39,8.39,2.71,22.45,14.11,11.51,0.88,0.2,2.71,0.66,4.06,2.39
2013,24.9,5.9,32,31.01,3.62,2.37,8.57,2.66,23.02,14.44,12.43,0.83,0.2,2.66,0.54,4.1,2.37
2014,24.8,5.6,34.8,32.87,3.36,2.34,7.86,2.69,21,13.3,11.56,0.88,0.2,2.69,0.58,4.06,2.34
2015,24.8,5.6,39.7,32.2,3.37,2.38,8.01,2.5,20.76,13.57,11.08,0.97,0.24,2.5,0.54,4.14,2.38
2016,25.1,5,41.9,30.31,3.05,2.39,7.29,2.48,18.15,12.51,9.49,0.93,0.22,2.48,0.55,4.14,2.39
2017,25.6,4.7,43.2,30.27,2.81,2.44,6.85,2.56,17.23,11.97,9.66,0.86,0.19,2.56,0.54,4.21,2.44
2018,25.4,4.1,54,30.42,1.97,2.48,4.89,2.63,12.67,9.17,7.49,0.76,0.16,2.63,0.47,4.37,2.48
