Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,46.8,24.78,8.69,0.2,1.7,8.61,16.23,0,0,0,0,8.61,3.63,8.56,0.2
2010,0,0,21.5,31.98,14.4,0.21,2.96,9.06,26.15,0,0,0,0,9.06,4.09,9.78,0.21
2011,0,0,18.1,29.57,16.47,0.2,3.29,8.16,28.18,0,0,0,0,8.16,3.17,9.55,0.2
2012,0,0,20.6,30.52,14.04,0.21,2.89,8.11,23.53,0,0,0,0,8.11,3.12,9.02,0.21
2013,0,0,20.2,32.06,16.11,0.22,3.47,7.86,27.68,0,0,0,0,7.86,2.84,8.78,0.22
2014,0,0,18.2,34.55,17.03,0.22,3.74,7.7,29.07,0,0,0,0,7.7,2.8,8.78,0.22
2015,0,0,19.8,34.96,20.41,0.15,3.16,7.8,24.49,0,0,0,0,7.8,2.32,6.17,0.15
2016,0,0,21,33.2,20.8,0.16,3.3,7.75,25.67,0,0,0,0,7.75,2.29,5.95,0.16
2017,0,0,25.2,63.1,10.78,0.14,1.55,9.94,13.6,0,0,0,0,9.94,3.06,5.58,0.14
2018,0,0,34,14.79,23.51,0.16,3.67,8.46,33.5,0,0,0,0,8.46,2.62,6.6,0.16
