Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,-2.02,0.05,-0.11,11.45,-1.33,0,0,0,0,11.45,2.26,7.65,0.05
2010,0,0,0,0,-3.39,0.05,-0.16,10.7,-1.77,0,0,0,0,10.7,2.12,7.11,0.05
2011,0,0,0,0,0.1,0.04,0,10.06,0.04,0,0,0,0,10.06,1.76,6.16,0.04
2012,0,0,16,0,3.4,0.04,0.13,10.13,1.28,0,0,0,0,10.13,1.26,6.37,0.04
2013,0,0,6.2,29.32,11.72,0.04,0.47,9.58,4.61,0,0,0,0,9.58,1.14,7.71,0.04
2014,0,0,21.1,29.5,4.56,0.04,0.18,9.39,1.71,0,0,0,0,9.39,1.08,8.1,0.04
2015,0,0,14.8,28.28,17.51,0.04,0.68,9.17,6.29,0,0,0,0,9.17,1.01,8.42,0.04
2016,0,0,16.3,28.81,19.38,0.04,0.75,9.05,6.82,0,0,0,0,9.05,0.9,8.99,0.04
2017,0,0,19.7,37.59,19.02,0.04,0.74,9.32,6.83,0,0,0,0,9.32,0.93,9.5,0.04
2018,0,0,24.2,18.61,29.26,0.04,1.15,9.69,10.95,0,0,0,0,9.69,0.94,9.53,0.04
