Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,-17.78,0.03,-0.61,7.32,-5.04,0,0,0,0,7.32,0.61,4.68,0.03
2010,0,0,17,28.34,18.15,0.06,1.1,7.64,8.21,0,0,0,0,7.64,0.6,8.42,0.06
2011,0,0,20.4,28.97,17.08,0.05,0.88,9.73,7.65,0,0,0,0,9.73,0.66,8.73,0.05
2012,0,0,25.6,23.59,16.96,0.04,0.7,10.15,6.97,0,0,0,0,10.15,0.52,8.46,0.04
2013,0,0,30.8,40.95,13.81,0.04,0.55,10.41,5.63,0,0,0,0,10.41,0.55,8.78,0.04
2014,0,0,26.5,25.6,16.06,0.04,0.65,10.74,6.82,0,0,0,0,10.74,0.56,10.01,0.04
2015,0,0,35.7,23.92,19.45,0.03,0.74,11.1,8.07,0,0,0,0,11.1,0.61,10.68,0.03
2016,0,0,23.6,24.91,22.74,0.04,0.93,9.46,9.53,0,0,0,0,9.46,0.69,11.06,0.04
2017,0,0,23.8,10.76,25.6,0.04,1.1,9.86,10.61,0,0,0,0,9.86,0.74,10.3,0.04
2018,0,0,23.3,18.07,25.46,0.04,1.11,9.78,10.88,0,0,0,0,9.78,0.79,9.22,0.04
