Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,89.9,27.7,51.1,29.48,18.62,0.05,0.88,7.32,4.81,4.21,19.71,1.33,1.33,7.32,0.14,13.33,0.05
2010,95.3,34.8,37.9,32.14,23.95,0.05,1.16,6.84,8.18,7.06,21.14,2.08,2.08,6.84,0.17,19.73,0.05
2011,95.7,36.1,40.5,25.39,25.74,0.05,1.3,7.18,9.14,7.86,18.81,2.33,2.33,7.18,0.25,18.82,0.05
2012,54,37.7,43.5,29.68,14.97,0.05,0.74,7.89,5.54,4.69,17.14,6.18,6.18,7.89,0.32,17.07,0.05
2013,54.6,37.9,41,25.72,28.8,0.05,1.4,8.31,11.31,9.14,19.83,6.27,6.27,8.31,0.28,18.82,0.05
2014,54.9,40.4,38.6,25.73,29.73,0.05,1.43,8.76,12.24,9.91,19.94,7.85,7.85,8.76,0.3,22.34,0.05
2015,54.1,40.9,43.5,27.16,29.34,0.05,1.44,7.9,11.97,10.05,23.56,7.93,7.93,7.9,0.17,21.76,0.05
2016,54.2,41.6,47.6,28.92,28.44,0.05,1.42,7.57,11.01,9.75,22.76,7.79,7.79,7.57,0.17,19.57,0.05
2017,54.6,42.2,45.9,5.12,39.79,0.06,2.26,6.92,16.32,14.45,26.74,8.39,8.39,6.92,0.16,21.7,0.06
2018,50.7,39.4,32.6,20.01,30.32,0.07,2.27,4.93,13.41,11.76,30.23,7.08,7.08,4.93,0.16,22.99,0.07
