Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,-11.52,0.04,-0.49,12.18,-8.28,0,0,0,0,12.18,2.39,0,0.04
2010,0,0,0,16.94,12.23,0.05,0.56,11.73,6.71,0,0,0,0,11.73,2.34,0,0.05
2011,0,0,0.5,24.08,14.09,0.04,0.58,10.56,6.48,0,0,0,0,10.56,1.82,0,0.04
2012,0,0,1.6,0.34,10.47,0.04,0.39,10,4.04,0,0,0,0,10,1.28,0,0.04
2013,0,0,1,30.09,17.31,0.04,0.71,9.52,6.88,0,0,0,0,9.52,1.11,0,0.04
2014,0,0,1.4,47.79,8.7,0.04,0.36,9.21,3.37,0,0,0,0,9.21,1.11,0,0.04
2015,0,0,2.7,29.97,21.28,0.04,0.91,8.44,8.02,0,0,0,0,8.44,0.98,0,0.04
2016,0,0,6.6,30,19.52,0.04,0.77,8.71,6.64,0,0,0,0,8.71,1,0,0.04
2017,0,0,15.4,129.12,-11.26,0.04,-0.44,10.15,-4.16,0,0,0,0,10.15,1.3,0,0.04
2018,0,0,0,22.85,22.88,0.04,0.89,10.79,9.28,0,0,0,0,10.79,1.31,0,0.04
