Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,79.7,61,37.1,42.55,31.61,0.06,1.97,1.85,4.35,4.14,11.73,1.03,0.08,1.85,0.1,3.61,0.06
2010,78.7,60.9,32.1,44.71,31.67,0.09,2.69,1.75,4.83,4.72,13.27,1.13,1.1,1.75,0.1,3.94,0.09
2011,78.8,65.9,28.4,6.31,55.24,0.09,4.78,1.89,8.71,8.39,17.57,1.14,1.11,1.89,0.1,4.08,0.09
2012,75.5,58.1,66.4,46.46,30.75,0.07,2.25,1.81,4.17,3.97,13.81,1.14,0.25,1.81,0.1,3.77,0.07
2013,74.9,55.8,63.2,38.91,33.27,0.06,2.1,2.57,4.59,4.43,11.57,1.04,0.12,2.57,0.1,4.75,0.06
2014,75.2,56.8,61.7,36.38,36.21,0.05,1.78,3.45,5.36,5.2,15.84,1.02,0.04,3.45,0.1,6.09,0.05
2015,76.9,59.8,52.7,36.27,37.48,0.05,1.79,3.28,6.01,5.77,17.67,1.03,0.06,3.28,0.11,6.65,0.05
2016,78.2,61.3,53.6,32.94,42.67,0.05,2.24,3.41,7.5,7.13,19.52,1.03,0.06,3.41,0.11,7.84,0.05
2017,78.6,63.4,58.5,0,111.49,0.05,5.6,3.38,19.01,18.01,22.59,1.02,0.05,3.38,0.1,8.84,0.05
2018,77.8,60.5,20.8,29.31,45.53,0.06,2.56,2.99,8.12,7.47,18.61,1.01,0.05,2.99,0.15,10.16,0.06
