Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,53.6,26.16,2.46,0.08,0.19,6.38,1.28,0,0,0,0,6.38,0.45,5.16,0.08
2010,0,0,3,29.56,16.89,0.09,1.49,7.44,10.33,0,0,0,0,7.44,1.19,5.92,0.09
2011,0,0,2.6,29.08,19.15,0.08,1.55,6.94,11.11,0,0,0,0,6.94,0.91,5.93,0.08
2012,0,0,3.1,25.84,17.2,0.08,1.34,7.73,9.94,0,0,0,0,7.73,1.2,6.4,0.08
2013,0,0,9.6,31.56,18.74,0.07,1.34,7.12,9.94,0,0,0,0,7.12,0.95,5.88,0.07
2014,0,0,16.2,32.67,19.9,0.07,1.43,6.86,10.01,0,0,0,0,6.86,1.06,5.8,0.07
2015,0,0,19.7,31.78,16.86,0.07,1.2,7.06,8.39,0,0,0,0,7.06,1.23,6.32,0.07
2016,0,0,22.7,31.25,14.07,0.07,1.02,7.51,7.41,0,0,0,0,7.51,1.25,6.88,0.07
2017,0,0,22.4,61.45,6.4,0.07,0.47,7.5,3.54,0,0,0,0,7.5,1.23,6.9,0.07
2018,0,0,21.5,17.67,20.7,0.07,1.55,7.21,11.37,0,0,0,0,7.21,1.13,6.71,0.07
