Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,6.9,32.5,26.99,0.05,1.44,13.32,19.12,0,0,0,0,13.32,2.9,3.97,0.05
2010,0,0,10.6,35.2,19.7,0.04,0.88,12.95,11.5,0,0,0,0,12.95,2.48,3.48,0.04
2011,0,0,21.6,27.99,8.71,0.03,0.27,13.72,3.65,0,0,0,0,13.72,3.13,2.91,0.03
2012,0,0,12.5,33.3,22.82,0.03,0.78,13.5,10.66,0,0,0,0,13.5,2.89,3.78,0.03
2013,0,0,12.2,31.5,24.25,0.03,0.84,12.79,10.98,0,0,0,0,12.79,2.61,3.66,0.03
2014,0,0,12.8,31.4,25.22,0.04,0.91,11.63,11.15,0,0,0,0,11.63,2.6,3.45,0.04
2015,0,0,16.4,30.7,17.82,0.04,0.65,11.4,7.47,0,0,0,0,11.4,2.66,3.24,0.04
2016,0,0,20.7,28.2,25.26,0.03,0.82,11.36,9.37,0,0,0,0,11.36,2.79,2.55,0.03
2017,0,0,14.6,61.5,12.48,0.03,0.41,13.02,5.05,0,0,0,0,13.02,3.44,2.17,0.03
2018,0,0,21.9,16.2,29.51,0.04,1.07,11.8,13.2,0,0,0,0,11.8,3.11,2,0.04
