Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,21.2,33.74,14.18,0.06,0.86,8.1,8.19,0,0,0,0,8.1,0.27,6.15,0.06
2010,0,0,17.2,33.14,19.77,0.06,1.11,7.91,8.85,0,0,0,0,7.91,0.25,5.79,0.06
2011,0,0,13.2,34.32,26.51,0.06,1.54,8.43,12.64,0,0,0,0,8.43,0.27,6.88,0.06
2012,0,0,15.4,32.27,27.61,0.06,1.53,9.04,13.43,0,0,0,0,9.04,0.45,7.54,0.06
2013,0,0,15.4,32.44,27.62,0.06,1.56,9.33,14.32,0,0,0,0,9.33,0.75,8.3,0.06
2014,0,0,18.1,34.75,30.04,0.06,1.67,9.64,15.86,0,0,0,0,9.64,0.74,8.75,0.06
2015,0,0,17,35.4,31.4,0.06,1.74,8.34,15.48,0,0,0,0,8.34,0.61,9.76,0.06
2016,0,0,17.6,36.39,30.3,0.06,1.69,8.9,14.56,0,0,0,0,8.9,0.6,11.28,0.06
2017,0,0,18.1,36.02,30.41,0.06,1.67,8.84,14.83,0,0,0,0,8.84,0.71,12.38,0.06
2018,0,0,17.8,35.46,31.44,0.06,1.75,9.68,16.23,0,0,0,0,9.68,0.79,14.57,0.06
