Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,13.31,0.11,1.45,16.38,16.2,0,0,0,0,16.38,1.54,12.79,0.11
2010,0,0,6.1,37.72,16.66,0.17,2.82,13.29,40.49,0,0,0,0,13.29,1.31,22.43,0.17
2011,0,0,6,29.34,14.86,0.11,1.64,14.24,22.7,0,0,0,0,14.24,1.62,15.32,0.11
2012,0,0,5.1,19.95,18.63,0.09,1.77,11.06,21.9,0,0,0,0,11.06,1.06,14.14,0.09
2013,0,0,6.3,24.26,15.97,0.09,1.42,12.61,16.86,0,0,0,0,12.61,1.36,14.41,0.09
2014,0,0,5.9,20.81,20.95,0.08,1.66,12.34,20.64,0,0,0,0,12.34,1.4,12.86,0.08
2015,0,0,4.7,24.11,23.97,0.08,2,11.36,23.62,0,0,0,0,11.36,1.21,11.77,0.08
2016,0,0,9.9,0,28.23,0.08,2.14,11.37,24.34,0,0,0,0,11.37,1.38,10.57,0.08
2017,0,0,10.5,38.25,19.73,0.09,1.77,11.04,19.81,0,0,0,0,11.04,1.12,14.22,0.09
2018,0,0,4.8,24.66,21.69,0.08,1.71,10.64,18.57,0,0,0,0,10.64,0.95,14.31,0.08
