Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,8.9,27.48,8.74,0.05,0.42,12.93,6.01,0,0,0,0,12.93,1.69,9.49,0.05
2010,0,0,5.1,30.13,15.35,0.05,0.76,12.58,9.69,0,0,0,0,12.58,1.81,8.39,0.05
2011,0,0,17,29.06,18.07,0.04,0.8,12.89,10.21,0,0,0,0,12.89,1.46,7.1,0.04
2012,0,0,23.1,26.4,20.49,0.04,0.86,12.1,10.72,0,0,0,0,12.1,1.27,6.79,0.04
2013,0,0,30.6,30.84,17.18,0.04,0.7,12.08,8.4,0,0,0,0,12.08,1.34,6.57,0.04
2014,0,0,28.9,26.95,21.33,0.04,0.81,12.14,9.75,0,0,0,0,12.14,1.31,6.28,0.04
2015,0,0,28.6,20.39,23.95,0.03,0.91,10.62,10.34,0,0,0,0,10.62,1.3,6.34,0.03
2016,0,0,31.7,28.38,23.61,0.04,0.93,10.92,10.05,0,0,0,0,10.92,1.29,6.72,0.04
2017,0,0,29.4,31.92,22.65,0.04,0.9,11.03,9.86,0,0,0,0,11.03,1.24,7.04,0.04
2018,0,0,30.7,20.34,28.17,0.04,1.19,11.38,13.35,0,0,0,0,11.38,1.22,7.5,0.04
