Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,6.1,12.76,0.17,2.15,5.78,11.02,0,0,0,0,5.78,0,9.55,0.17
2010,0,0,17.1,20.86,9.69,0.3,2.9,5.81,16.79,0,0,0,0,5.81,0,19.05,0.3
2011,0,0,52.3,17.55,8.72,0.29,2.55,6.76,16.02,0,0,0,0,6.76,0,21.19,0.29
2012,0,0,44.3,9.86,4.94,0.25,1.22,8.27,9.16,0,24.5,0,0,8.27,0,18.93,0.25
2013,0,0,59.5,0,2.98,0.21,0.64,8.59,5.36,0,5.26,0,0,8.59,0.31,15.19,0.21
2014,0,0,22.4,15.09,5.93,0.22,1.28,8.95,11.22,0,8.3,0,0,8.95,0.31,14.35,0.22
2015,0,0,30.5,19.52,7.31,0.21,1.53,7.91,12.77,0,9.55,0,0,7.91,0.25,14.44,0.21
2016,0,0,25.4,23.39,6.84,0.22,1.48,7.59,11.44,0,11.63,0,0,7.59,0.22,15.75,0.22
2017,0,0,89.8,17.86,3.54,0.21,0.74,8.88,6.11,0,6,0,0,8.88,0.18,15.63,0.21
2018,0,0,32.3,21.4,5.01,0.23,1.15,9.03,10.33,0,10.06,0,0,9.03,0.06,15.11,0.23
