Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,0,-3.88,0.03,-0.12,20.8,-2.45,0,0,0,0,20.8,5.21,3.31,0.03
2010,0,0,8.2,11.92,11.37,0.04,0.46,16.96,8.49,0,0,0,0,16.96,4.26,4.78,0.04
2011,0,0,10.6,23.19,6.38,0.04,0.27,12.39,3.82,0,0,0,0,12.39,3.39,5.14,0.04
2012,0,0,1000,0,-0.12,0.03,0,12.89,-0.05,0,0,0,0,12.89,2.8,3.96,0.03
2013,0,0,11.7,18.43,8.65,0.04,0.33,13.28,4.31,0,0,0,0,13.28,2.45,5.13,0.04
2014,0,0,11.9,0,9.71,0.04,0.39,12.35,4.94,0,0,0,0,12.35,2.35,5.35,0.04
2015,0,0,30.5,25.9,17.05,0.04,0.71,11.64,8.56,0,0,0,0,11.64,2.27,5.33,0.04
2016,0,0,26,30.81,16.84,0.04,0.69,11.89,8.09,0,0,0,0,11.89,2.4,0,0.04
2017,0,0,23.5,40.07,15.59,0.04,0.67,12.37,8.13,0,0,0,0,12.37,2.77,0,0.04
2018,0,0,25,20.91,21.8,0.04,0.96,11.9,11.7,0,0,0,0,11.9,2.62,0,0.04
