Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,22.5,26.88,11.92,0.06,0.71,9.01,7.24,0,0,0,0,9.01,0.69,0,0.06
2010,0,0,8,25.54,19.84,0.06,1.13,8.74,10.01,0,0,0,0,8.74,1.17,0,0.06
2011,0,0,14.3,24.53,20.93,0.05,1.12,7.96,9.33,0,0,0,0,7.96,0.99,0,0.05
2012,0,0,29.3,23.89,18.26,0.05,0.98,7.82,7.75,0,0,0,0,7.82,0.7,0,0.05
2013,0,0,24.7,24.08,24.8,0.05,1.27,7.55,9.76,0,0,0,0,7.55,0.8,0,0.05
2014,0,0,25,25.06,25.6,0.05,1.18,7.75,9.05,0,0,0,0,7.75,1.01,0,0.05
2015,0,0,26.9,24.77,25.38,0.04,1.1,8.02,8.66,0,0,0,0,8.02,1.12,0,0.04
2016,0,0,28.9,24.14,24.15,0.04,1.01,8.02,8.1,0,0,0,0,8.02,1.06,0,0.04
2017,0,0,29.3,1.86,30.94,0.04,1.35,8.01,10.84,0,0,0,0,8.01,1.14,0,0.04
2018,0,0,26.4,16.83,29.42,0.04,1.32,8.01,10.58,0,0,0,0,8.01,1.1,0,0.04
