Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,79.7,28.38,12.45,0.04,0.53,20.41,12.05,0,0,0,0,20.41,0.2,10.35,0.04
2010,0,0,55.8,23.62,17.53,0.04,0.72,21.27,14.99,0,0,0,0,21.27,0.2,11.63,0.04
2011,0,0,46.7,21.85,16.75,0.04,0.62,20.37,12.94,0,0,0,0,20.37,0.21,10.99,0.04
2012,0,0,45.9,21.67,25.3,0.04,0.94,20.91,19.49,0,0,0,0,20.91,0.19,11.36,0.04
2013,0,0,45.6,20.61,26.18,0.04,0.96,19.59,19.37,0,0,0,0,19.59,0.17,11.54,0.04
2014,0,0,47,23.11,25.62,0.04,0.97,19.35,18.79,0,0,0,0,19.35,0.16,12.71,0.04
2015,0,0,46.3,20.57,27.68,0.03,0.97,18.83,18.43,0,0,0,0,18.83,0.13,13,0.03
2016,0,0,46.5,21.36,26.45,0.03,0.9,18.35,16.66,0,0,0,0,18.35,0.15,13.74,0.03
2017,0,0,46.5,21.83,27.59,0.03,0.93,17.99,16.9,0,0,0,0,17.99,0.14,14.65,0.03
2018,0,0,46,21.12,28.47,0.03,0.95,18.15,17.19,0,0,0,0,18.15,0.12,15.47,0.03
