Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,16.78,23.56,0.04,0.95,18.23,16.64,0,0,0,0,18.23,0.68,4.41,0.04
2010,0,0,61.4,11.4,19.79,0.04,0.87,16.17,14.91,0,0,0,0,16.17,0.54,5.44,0.04
2011,0,0,50.8,24.26,19.63,0.04,0.7,16.23,11.39,0,0,0,0,16.23,0.41,4.43,0.04
2012,0,0,68.6,22.37,10.41,0.04,0.43,16.38,7.07,0,0,0,0,16.38,0.3,5.18,0.04
2013,0,0,275.5,16.2,4.37,0.04,0.17,17.01,2.92,0,0,0,0,17.01,0.24,4.97,0.04
2014,0,0,172.5,27.61,9.33,0.04,0.37,15.8,6.02,0,0,0,0,15.8,0.23,4.62,0.04
2015,0,0,131.2,34.82,11.27,0.04,0.48,15.67,7.51,0,0,0,0,15.67,0.21,3.76,0.04
2016,0,0,89.1,23.18,11.8,0.03,0.44,15.22,6.74,0,0,0,0,15.22,0.24,2.66,0.03
2017,0,0,69.5,30.48,12.38,0.04,0.44,14.73,6.56,0,0,0,0,14.73,0,2.36,0.04
2018,0,0,49.7,32.12,11.88,0.04,0.45,15.29,6.71,0,0,0,0,15.29,0,2.53,0.04
