Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,59.9,21.2,38.6,36.4,12.27,0.95,11.64,3.51,46.68,27.86,16.34,1.2,0.9,3.51,0.65,9.91,0.95
2010,62,23,35.4,36.4,13.42,0.91,12.25,3.19,40.82,27.27,17.41,1.23,0.95,3.19,0.54,10.93,0.91
2011,61.6,22.6,35.6,36.3,14.59,0.93,13.52,4.26,49,27.97,0,0.86,0.64,4.26,0.53,11.91,0.93
2012,67.2,27.2,43,35.75,9.82,0.66,6.48,9.19,38.42,18.48,0,1.06,0.47,9.19,1.04,10.25,0.66
2013,67.5,28.8,37.3,32.91,28.23,0.74,20.99,4.66,133.08,75.07,0,1.24,1.07,4.66,0.61,15.8,0.74
2014,67.8,2.2,35.9,453.7,-2.28,0.79,-1.79,13.88,-12.86,-6.79,0,1,0.87,13.88,1.64,22.2,0.79
2015,68.5,36.1,0,30.14,21.76,0.71,15.46,42.18,339,44.16,0,1.13,0.85,42.18,17.88,22.32,0.71
2016,68.8,40.1,20.7,30.11,37.2,0.67,24.99,13.34,499.05,53.48,0,1.4,1.35,13.34,5.48,20.93,0.67
2017,71.7,43,23.4,33.44,24.67,0.67,16.54,13.26,219.84,33.64,0,1.35,1.28,13.26,4.46,22.21,0.67
2018,72.8,44.6,28.3,20.89,31.29,0.66,20.74,15.06,292.46,47.93,0,1.37,1.29,15.06,5.83,22.97,0.66
