Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,65.4,7.6,16.53,0.03,0.53,15.77,9.07,0,0,0,0,15.77,0.35,4.51,0.03
2010,0,0,47.4,21.85,22.74,0.03,0.76,15.92,11.99,0,0,0,0,15.92,0.32,4.7,0.03
2011,0,0,40.7,18.44,26.44,0.03,0.87,15.79,13.86,0,0,0,0,15.79,0.27,5.18,0.03
2012,0,0,42.8,14.9,26.69,0.03,0.82,18.38,14.09,0,0,0,0,18.38,0.26,5.45,0.03
2013,0,0,45.9,15.17,23.65,0.03,0.76,18.32,13.97,0,0,0,0,18.32,1.18,5.96,0.03
2014,0,0,44.1,16.66,25.75,0.03,0.84,18,15.33,0,0,0,0,18,1.28,6.2,0.03
2015,0,0,47,16.61,25.12,0.03,0.76,17.61,13.56,0,0,0,0,17.61,1.33,6.07,0.03
2016,0,0,47.8,20.13,25.53,0.03,0.76,17.27,13.26,0,0,0,0,17.27,1.33,6.3,0.03
2017,0,0,43.6,18.29,28.47,0.03,0.83,18.41,14.83,0,0,0,0,18.41,1.29,6.64,0.03
2018,0,0,43.4,23.1,28.68,0.03,0.85,18.03,15.4,0,0,0,0,18.03,1.67,7.24,0.03
