Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,20.6,15.01,11.87,0.06,0.66,11.49,8.42,0,0,0,0,11.49,1.33,7.49,0.06
2010,0,0,11.6,22.26,20.25,0.06,1.13,11.16,12.8,0,0,0,0,11.16,1.14,6.93,0.06
2011,0,0,18.8,27.77,24.96,0.06,1.46,10.84,16.01,0,0,0,0,10.84,1.02,7.36,0.06
2012,0,0,27.5,28.94,26.83,0.06,1.55,10.34,16.41,0,0,0,0,10.34,0.75,7.53,0.06
2013,0,0,28.6,26.17,28.65,0.05,1.55,10.01,15.73,0,0,0,0,10.01,0.55,7.35,0.05
2014,0,0,31.3,26.1,28,0.05,1.46,10.4,14.87,0,0,0,0,10.4,0.83,7.63,0.05
2015,0,0,31.8,26.11,27.91,0.05,1.36,10.38,14.13,0,0,0,0,10.38,0.79,7.83,0.05
2016,0,0,32.4,26.66,26.48,0.05,1.29,10.67,13.56,0,0,0,0,10.67,0.8,8.52,0.05
2017,0,0,33.9,16.82,27.06,0.05,1.3,10.59,13.84,0,0,0,0,10.59,0.74,8.96,0.05
2018,0,0,31.8,17.91,30.12,0.05,1.46,10.38,15.3,0,0,0,0,10.38,0.92,9.21,0.05
