Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,28,29.62,9.03,0.07,0.63,12.04,9.34,0,0,0,0,12.04,1.97,8.04,0.07
2010,0,0,9,33.36,13.78,0.07,0.93,10.69,10.53,0,0,0,0,10.69,1.33,8.29,0.07
2011,0,0,12.6,31.47,18.91,0.06,1.17,10.2,12.19,0,0,0,0,10.2,0.97,8.29,0.06
2012,0,0,23.2,31.97,21.28,0.06,1.32,9.84,13.16,0,0,0,0,9.84,0.88,8.92,0.06
2013,0,0,28.2,31.89,25.38,0.06,1.42,9.92,13.99,0,0,0,0,9.92,0.99,8.86,0.06
2014,0,0,31.8,30.39,26.62,0.05,1.36,10.21,13.68,0,0,0,0,10.21,1.11,9.16,0.05
2015,0,0,35,30.81,25.61,0.05,1.24,10.47,12.78,0,0,0,0,10.47,1.17,9.61,0.05
2016,0,0,37.4,31.37,23.31,0.05,1.1,11.03,11.78,0,0,0,0,11.03,1.46,10.26,0.05
2017,0,0,39.5,17.96,23.59,0.04,1.06,10.75,11.53,0,0,0,0,10.75,1.24,10.14,0.04
2018,0,0,37.8,19.84,24.37,0.04,1.08,10.96,11.67,0,0,0,0,10.96,1.32,9.56,0.04
