Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,71.5,35.9,0,22.08,32.62,0,0,0,0,0,0,0,0,0,0,0,0
2010,72.5,30.2,0,13.61,26.72,0.74,19.77,1.35,26.61,26.45,0,2.19,0.9,1.35,0,6.63,0.74
2011,73.4,24.6,0,6.42,19.68,0.86,16.83,1.61,24.59,24.59,0,1.25,0.76,1.61,0,7.75,0.86
2012,75.5,31.6,0,7.86,28.7,0.79,22.61,8.03,67.69,22.81,56.05,2.27,1.81,8.03,4.35,8.37,0.79
2013,75.6,30.1,42,22.58,21.97,0.67,14.69,6.5,105.11,22.71,18.83,2.59,2.14,6.5,3.18,8.27,0.67
2014,77.8,17.1,71.3,25.12,8.89,0.7,6.25,15.81,56.91,11.49,6.52,1.41,1.11,15.81,6.06,8.35,0.7
2015,80.3,33,112.9,22.59,22.5,0.57,12.76,13.45,180.9,21.66,10.24,1.5,1.21,13.45,7.41,9.05,0.57
2016,77.2,36.6,60,24.49,23.1,0.43,9.94,14.26,138.05,17.27,8.53,1.65,1.14,14.26,7.86,9.92,0.43
2017,75,34,60.4,31.29,18.72,0.41,7.72,13.89,108.56,14.24,7.72,1.28,0.89,13.89,6.07,10.44,0.41
2018,76.4,19.5,67.8,0,17.27,0.5,8.69,0,0,0,4.86,0.98,0.78,0,0,11.52,0.5
