Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,57.1,20.8,42.3,20.13,18.68,0.65,12.12,2.29,28.49,17.74,14.84,1.79,1.26,2.29,0.49,4.15,0.65
2010,58.3,17.3,58.1,19.02,13.16,0.63,8.27,2.66,20.45,12.38,11.33,1.29,0.73,2.66,0.56,4.51,0.63
2011,60,16.5,63.4,9.04,12.17,0.65,7.9,2.47,20.2,12.65,10.81,1.54,1.02,2.47,0.49,4.9,0.65
2012,62.1,20.3,54,4.79,14.95,0.63,9.35,2.52,23.31,14.82,11.57,2.36,1.72,2.52,0.68,5,0.63
2013,54,12,22.3,5.47,11.79,0.4,4.68,1.71,9.93,6.74,17.06,2.02,1.27,1.71,0.13,3.13,0.4
2014,54.5,12.8,63.5,31.65,11.28,0.48,5.42,1.92,9.78,7.64,17.79,1.45,0.76,1.92,0.16,3.42,0.48
2015,57.1,14.1,56.3,18.13,21.68,0.49,10.72,1.94,20.7,15.01,20.53,1.54,1.04,1.94,0.28,3.5,0.49
2016,56.7,15.3,154.6,24.77,6.71,0.44,2.98,2.56,6.71,4.53,4.28,4.02,3.31,2.56,1,3.65,0.44
2017,55,6.3,87.9,84.18,1.74,0.42,0.74,2.47,1.85,1.18,3.47,2.26,1.67,2.47,0.88,4.12,0.42
2018,58.4,11.9,245.6,18.76,7.74,0.43,3.3,2.2,7.71,5.42,4.48,1.62,1.03,2.2,0.63,4.03,0.43
