Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,85.7,37.6,0,11.51,31.45,0.39,12.11,1.75,21.39,15.51,10,4.89,4.02,1.75,0.47,2.52,0.39
2010,85.3,36.8,0,12.98,30.74,0.36,11.13,1.82,19.85,13.21,9.8,3.52,3.01,1.82,0.45,2.67,0.36
2011,84.4,33.4,6.9,11.25,23.64,0.34,7.98,2.57,17.14,9.84,7.8,4.8,4.09,2.57,1.12,2.85,0.34
2012,83.1,32.3,26.1,13.26,25.17,0.33,8.42,2.85,22.82,11.24,5.76,3.81,3.24,2.85,1.26,3.21,0.33
2013,82.1,31.4,28,3.49,27.21,0.31,8.44,2.99,24.69,11.35,6.15,3.44,2.78,2.99,1.34,3.5,0.31
2014,78,30.9,36.2,7.65,25.71,0.3,7.63,2.68,21.55,10.33,6.21,4.95,4.22,2.68,1.17,3.8,0.3
2015,80.5,39.1,35.6,13.02,32.03,0.31,9.87,2.55,25.77,12.69,8.29,4.44,3.97,2.55,1.04,4.28,0.31
2016,81.9,42.6,37.9,15.73,33.59,0.31,10.35,2.6,26.65,13.3,8.27,4.11,3.68,2.6,1.01,4.66,0.31
2017,82.2,43.6,40.2,79.38,8.66,0.29,2.51,3.17,7.18,3.29,8.36,5.49,4.98,3.17,1.35,4.59,0.29
2018,82.7,43.2,133,12.06,35.35,0.32,11.47,5.31,44.48,16.87,7.86,2.79,2.44,5.31,2.36,4.77,0.32
