Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,0,0,0,35.89,7.3,1.29,9.44,2.1,20.5,0,17.55,0,0,2.1,0.34,60.38,1.29
2010,0,0,0,33.69,4.91,1.15,5.64,2.11,11.86,0,11.39,0,0,2.11,0.34,52.15,1.15
2011,0,0,9.8,33.13,4.36,1.19,5.18,2.23,11.24,0,10.2,0,0,2.23,0.36,47.18,1.19
2012,0,0,14.1,31.3,4.3,1.11,4.79,2.48,11.28,0,8.55,0,0,2.48,0.6,39.1,1.11
2013,0,0,15.3,31.4,3.51,1.2,4.2,2.41,10.25,0,7.37,0,0,2.41,0.55,40.13,1.2
2014,0,0,20.6,41.39,3.48,1.21,4.23,2.56,10.49,0,8.27,0,0,2.56,0.58,39.44,1.21
2015,0,0,22,44.72,3.23,1.27,4.14,2.68,10.83,0,8.09,0,0,2.68,0.67,39.94,1.27
2016,0,0,30.1,45.78,2.91,1.34,3.9,2.59,10.26,0,7.3,0,0,2.59,0.57,42.46,1.34
2017,0,0,23.9,3.05,4.27,1.33,5.67,2.66,14.89,0,6.36,0,0,2.66,0.66,43.36,1.33
2018,0,0,17.1,26.01,4.07,1.3,5.28,2.51,13.63,0,7.73,0,0,2.51,0.6,37.52,1.3
