Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,82.4,35.2,40.3,30.19,22.93,0.65,14.79,2.66,41.13,31.76,10.02,1.35,1.08,2.66,0.01,4.57,0.65
2010,80.8,32.4,43.3,26.38,24.21,0.6,14.5,2.42,36.71,30.49,11.74,1.5,1.16,2.42,0.39,4.66,0.6
2011,82.1,31.4,37.1,19.01,29.72,0.62,18.32,2.27,42.98,31.78,13.62,1.49,1.31,2.27,0.32,5.02,0.62
2012,80.7,28.2,57.2,18.02,22.51,0.53,11.84,2.26,26.81,21.2,9.27,1.37,1.14,2.26,0.4,4.47,0.53
2013,79.5,14.3,75.4,21.3,9.94,0.47,4.67,2.41,10.89,8.7,7.64,1.27,1.11,2.41,0.37,4.32,0.47
2014,77.6,8.1,345.7,0.88,4.73,0.46,2.15,2.99,5.75,5.43,3.44,0.96,0.82,2.99,0.43,4.41,0.46
2015,81.2,12.7,209,7.92,11.43,0.42,4.76,3.25,14.82,10.17,7.54,1.08,0.9,3.25,0.76,3.98,0.42
2016,82.1,15.5,144.3,4.11,15.21,0.38,5.71,4.21,20.99,12.73,6.22,0.87,0.68,4.21,0.98,3.47,0.38
2017,80.8,10.2,100.3,0,13.36,0.36,4.77,4.23,20.13,12.05,4.12,0.8,0.57,4.23,1.04,3.11,0.36
2018,77.7,6.8,146.4,0,9.76,0,0,0,0,0,3.5,0,0,0,0,0,0
