Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,52.6,23,26.8,26,17.2,0.83,14.31,1.81,24.44,18.85,41.59,2.61,1.75,1.81,0.29,2.51,0.83
2010,51.9,22.7,30.2,29.19,17.87,0.78,13.9,1.78,24.91,18.76,33.4,2.7,1.76,1.78,0.28,2.43,0.78
2011,52.3,22.5,29.3,26.3,16.23,0.78,12.66,2.16,24.77,17.73,21.43,2.56,1.53,2.16,0.51,2.48,0.78
2012,51.3,20.2,31.9,24.65,15.18,0.71,10.74,2.75,26.1,15.56,11.93,2.69,1.73,2.75,0.91,2.37,0.71
2013,51.8,15.6,34.8,20.26,16.05,0.69,11,2.41,28.18,15.84,9.44,2.76,1.81,2.41,0.75,2.38,0.69
2014,50.9,19,43.2,22.14,14.03,0.69,9.64,2.46,23.48,13.91,12.27,2.74,1.76,2.46,0.75,2.39,0.69
2015,45.7,14.6,58,5.95,6.76,0.52,3.54,3.74,11.38,7.1,2.99,1.38,0.72,3.74,1.59,2.68,0.52
2016,48,17.3,49.2,9.03,7.82,0.48,3.72,3.35,13.19,6.69,3.76,1.45,0.8,3.35,1.38,3.14,0.48
2017,49.1,15.2,82.8,0,8.52,0.38,3.25,2.91,10.01,6.01,2.87,5.58,4.78,2.91,1.44,2.83,0.38
2018,45.4,14,118.7,73.49,0.99,0.35,0.35,2.57,0.94,0.89,2.66,1.02,0.48,2.57,0.9,3.19,0.35
