Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,20.6,6.5,11.9,37.29,3.74,1.61,6.03,1.72,10.54,8.65,12.16,1.43,0.53,1.72,0.24,12.3,1.61
2010,21,6.4,14,38.91,3.55,1.56,5.54,1.65,9.33,7.93,11.44,1.6,0.57,1.65,0.23,11.87,1.56
2011,19.2,5.9,18.4,39.3,3.23,1.69,5.46,1.7,9.14,7.96,10.77,1.56,0.62,1.7,0.24,12.76,1.69
2012,18.3,5.9,21.4,38.61,3.15,1.89,5.94,1.75,10.24,8.83,12.27,1.44,0.57,1.75,0.24,14.4,1.89
2013,18.8,6.3,23.3,38.89,3.62,1.84,6.68,1.89,12.14,9.92,15.56,1.64,0.84,1.89,0.34,14.7,1.84
2014,18.2,6.3,27.1,39.5,3.33,1.91,6.37,1.96,12.24,9.79,13.48,1.37,0.64,1.96,0.31,15.96,1.91
2015,17.3,6.2,30,39.3,3.42,1.83,6.24,2.52,13.94,9.94,11.03,1.31,0.62,2.52,0.71,16.4,1.83
2016,16.3,5.8,34.9,38.4,3,1.89,5.65,2.56,14.37,9.25,9.01,1.18,0.6,2.56,0.7,17.72,1.89
2017,15.4,5.2,39.8,19.8,3.58,1.95,6.99,2.52,17.77,11.56,8.79,1.01,0.48,2.52,0.59,18.05,1.95
2018,16.2,5.2,66,142.39,-0.31,1.33,-0.41,3.37,-1.24,-1.74,1.54,1.03,0.55,3.37,1.23,17.98,1.33
