Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,77.2,50.3,0,25.03,37.59,0.84,31.53,1.52,50.11,40.46,51.27,2.57,1.63,1.52,0.2,11.41,0.84
2010,76.5,49.8,0,26.16,36.5,0.75,27.25,1.98,47.44,34.41,36.92,2.32,1.51,1.98,0.5,11.35,0.75
2011,74.7,45.2,0,23.61,33.43,0.58,19.41,2.57,44.49,24.45,18.77,5.53,4.71,2.57,1.13,11.37,0.58
2012,74.5,41.3,0,28.75,26.71,0.5,13.45,2.28,32.3,17.87,11.01,1.44,0.85,2.28,0.76,10.35,0.5
2013,74.5,40.4,0,27.35,27.45,0.51,14.06,1.98,29.74,18.53,14.71,1.14,0.66,1.98,0.35,9.88,0.51
2014,84.8,61.3,0,18.83,48.62,0.87,42.34,2.25,90.32,54.17,37.06,3.07,2.56,2.25,0.77,17.53,0.87
2015,87.7,68,7.8,16.4,55.48,0.75,41.87,2.8,106.64,54.5,32.48,2.5,2.07,2.8,1.14,16.53,0.75
2016,86,58,16.7,21.11,44.43,0.56,24.81,3.02,72.16,33.57,18.74,2.22,1.78,3.02,1.39,11.82,0.56
2017,83.3,54.1,23,65.67,17.73,0.41,7.27,3.44,23.53,9.83,13.1,2.74,2.52,3.44,1.51,8.48,0.41
2018,78.1,37.1,182.8,29.99,24.65,0.33,8.14,2.98,26.08,12.09,8.24,3.38,3.15,2.98,1.15,6.06,0.33
