Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,74,29.7,55.3,28.16,19.5,0.69,13.45,4.28,61.67,23.99,11.08,1.45,1.11,4.28,1.48,2.98,0.69
2010,73.3,13.3,201.4,41.31,5.76,0.67,3.84,4.75,17.3,8.55,4.8,1.25,0.95,4.75,1.67,3.08,0.67
2011,73.2,26.4,102.6,29.1,19.21,0.66,12.63,5.11,62.19,24.59,10.63,1.08,0.74,5.11,1.52,3.08,0.66
2012,70.1,23.3,80.1,29.11,17.27,0.64,11.06,7.14,65.96,19.19,0,0.99,0.69,7.14,2.53,3.02,0.64
2013,67.6,22.3,98.8,15.33,20.51,0.63,13.01,6.01,84.89,21.83,0,1.11,0.81,6.01,2.21,3,0.63
2014,68.2,18.7,93,4.62,11.98,0.56,6.66,9.54,48.95,11.15,0,1.1,0.66,9.54,3.72,2.57,0.56
2015,63,11,39.4,20.46,35.2,0.51,17.9,10.45,179.63,37.25,0,1.24,0.84,10.45,3,2.56,0.51
2016,66.7,21.6,0,45.23,3.27,0.5,1.62,52.56,29.24,4.19,0,0.88,0.56,52.56,13.04,2.72,0.5
2017,65.7,20.1,170,38.47,5.08,0.52,2.65,0,290.15,8.09,0,0.6,0.36,0,0,2.79,0.52
2018,66.8,22.9,215.1,15.71,11.76,0.54,6.33,13.32,168.83,15.27,0,0.75,0.45,13.32,4.65,2.81,0.54
