Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,70.2,26.9,43.8,22.15,19.82,0.69,13.66,1.87,26.35,21,35.93,1.82,1.34,1.87,0.16,4.25,0.69
2010,69.5,26.8,44.1,21.32,21.65,0.62,13.5,1.82,24.88,19.65,38.25,2.05,1.62,1.82,0.16,4.2,0.62
2011,68.7,24.8,54.1,21.75,14.87,0.6,8.93,1.99,17.02,13.39,22.64,2.38,1.88,1.99,0.23,4.44,0.6
2012,67.8,23.6,62.1,23.67,16.14,0.57,9.24,1.87,17.81,14.22,26.89,1.9,1.34,1.87,0.18,4.36,0.57
2013,68.7,25.8,56.7,10.6,19.4,0.56,10.89,1.79,19.92,16.39,33.1,2.2,1.59,1.79,0.18,4.35,0.56
2014,69.4,28.2,45,20.62,21.96,0.56,12.38,1.88,22.7,18.47,39.58,2.36,1.75,1.88,0.22,4.53,0.56
2015,69.3,25.8,55.6,19.73,21.99,0.53,11.65,1.88,21.87,17.55,35.78,2.17,1.77,1.88,0.18,4.38,0.53
2016,69.8,29.4,54.4,16.48,23.01,0.52,12.05,2.01,23.37,17.86,28.28,2.47,2.04,2.01,0.32,4.52,0.52
2017,66.8,24.5,57,92.64,1.7,0.51,0.87,2.61,1.99,1.39,19.92,1.41,1.04,2.61,0.51,4.64,0.51
2018,66.8,24.6,589.8,15.01,18.75,0.53,9.86,2.56,25.51,16.9,18.91,1.47,1.08,2.56,0.46,4.79,0.53
