Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,80.6,29.2,49.8,19.21,19.82,0.77,15.28,2.88,53.25,26.83,21.5,1.9,1.27,2.88,0.7,2.6,0.77
2010,81.1,29.3,42.7,22.31,21.97,0.79,17.34,2.49,46.2,29.12,36.18,2.09,1.53,2.49,0.55,2.86,0.79
2011,79.1,26,46.9,18.73,17.9,0.75,13.45,2.49,33.49,22.24,29.76,1.6,1.25,2.49,0.4,3.09,0.75
2012,78.8,22.2,53.5,24.4,18.09,0.66,12.01,2.33,28.89,20.3,31.42,1.55,1.14,2.33,0.37,2.91,0.66
2013,78.8,24,44.8,20.45,20.27,0.66,13.45,2,28.92,21.87,37.79,1.47,1.06,2,0.24,2.94,0.66
2014,74.9,17,78.4,20.32,12.19,0.54,6.6,2.42,14.49,10.43,21.16,1.09,0.77,2.42,0.35,2.46,0.54
2015,74.8,18,89.6,13.68,12.07,0.55,6.62,2.44,16.09,10.75,18.31,1.53,1.04,2.44,0.55,2.49,0.55
2016,73.4,18.2,88.3,18.86,12.9,0.57,7.36,2.77,19.16,11.95,19.22,1.37,0.98,2.77,0.6,2.6,0.57
2017,73.5,21.6,98.6,109.29,-0.89,0.55,-0.49,3.88,-1.59,-0.85,10.77,1.32,0.91,3.88,0.86,2.68,0.55
2018,73.8,26.2,469.7,14.85,13.16,0.55,7.27,4.47,30.18,13.91,14.95,1.73,1.2,4.47,1.18,2.77,0.55
