Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,75.9,28.6,38.8,16.38,14.86,0.64,9.46,1.84,17.79,11.35,12.95,2.37,1.52,1.84,0.53,6.49,0.64
2010,75.9,27.1,29.4,21.92,19.59,0.61,11.98,1.92,22.55,14.86,10.87,1.92,1.39,1.92,0.47,6.73,0.61
2011,75.4,28.4,29.3,16.84,19.43,0.54,10.58,1.91,20.24,13.32,9.27,1.93,1.33,1.91,0.51,6.46,0.54
2012,76,29.9,30.1,17.61,22.35,0.51,11.39,1.93,21.87,13.97,12.88,1.62,1.09,1.93,0.43,6.49,0.51
2013,75.1,28.8,31.2,18.44,20.9,0.49,10.21,1.87,19.38,12.59,11.96,4.57,3.94,1.87,0.52,6.69,0.49
2014,74.5,28.3,31.3,17.27,18.02,0.47,8.42,1.95,16.08,10.41,10.78,3.82,3.38,1.95,0.53,6.97,0.47
2015,68.9,22.5,38.3,23.26,13.2,0.28,3.7,2,7.36,4.79,6.23,3.36,2.83,2,0.63,5.71,0.28
2016,68.3,20.7,101,18.4,12.27,0.28,3.43,1.92,6.72,5,4.13,3.29,2.64,1.92,0.58,6.04,0.28
2017,68.7,21.2,59,12.56,13.56,0.3,4.04,1.98,7.87,5.58,5.21,1.75,1.36,1.98,0.52,6.46,0.3
2018,69.8,21.2,88.7,45.46,10.36,0.31,3.25,1.8,6.15,4.67,5.95,2.28,1.71,1.8,0.47,6.68,0.31
