Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,47.6,20.8,45.1,29.97,13.81,0.88,12.1,2.13,28.2,18.85,22.15,2.2,1.46,2.13,0.41,3.33,0.88
2010,48.1,22.2,37.3,27.66,15.32,0.93,14.23,1.93,28.74,21.13,29.63,2.01,1.34,1.93,0.27,3.73,0.93
2011,47,20.9,37,27.76,14.46,0.96,13.87,2.05,27.56,20.96,33.42,2.25,1.41,2.05,0.3,3.96,0.96
2012,47.5,21.7,37.3,28.97,14.86,0.91,13.57,1.93,26.94,20.48,38.14,2.2,1.4,1.93,0.28,3.73,0.91
2013,47.8,21.6,38.3,28.06,15.09,0.92,13.82,1.92,26.56,20.05,46.26,1.7,1.03,1.92,0.25,3.63,0.92
2014,48.3,22.4,43.9,28.86,15.57,0.98,15.29,2.39,32.38,23.1,50.48,1.96,1.13,2.39,0.52,3.71,0.98
2015,49.2,22.9,50.8,29.05,15.96,0.95,15.11,2.79,38.95,23.12,46.79,1.54,0.85,2.79,0.75,3.56,0.95
2016,50,24,54.9,28.29,16.77,0.92,15.39,3.2,45.9,23.22,36.44,1.89,1.14,3.2,1.04,3.54,0.92
2017,49.5,22.9,51.7,35.49,15.35,0.89,13.71,3.29,44.44,21.16,24.44,1.86,1.17,3.29,1.05,3.64,0.89
2018,49.1,20.3,70.4,23.39,16.33,0.88,14.36,3.72,50.09,22.23,21,1.89,1.14,3.72,1.38,3.72,0.88
