Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,67.1,14.7,26.9,14.83,47.03,0.34,16.2,1.89,33.15,25.83,34.39,1.8,1.02,1.89,0.27,1.81,0.34
2010,60,7.3,542.9,40.59,1.87,0.42,0.79,1.95,1.52,1.71,3.31,1.86,1.25,1.95,0.28,2.6,0.42
2011,64.9,18.7,110.9,12.84,13.02,0.46,5.93,1.93,11.49,9.34,10.79,2.04,1.43,1.93,0.28,2.88,0.46
2012,65.2,20.9,84.5,27.92,13.04,0.45,5.84,2,11.47,8.94,13.24,1.9,1.3,2,0.31,2.92,0.45
2013,61.5,17.4,115.4,18.54,10,0.42,4.16,2.12,8.57,6.52,7.92,2,1.38,2.12,0.41,2.84,0.42
2014,60.3,15.8,95.7,30.95,28.22,0.41,11.69,2.02,24.22,16.9,24.61,1.77,1.19,2.02,0.38,3.01,0.41
2015,62.2,19.1,48.4,17.44,11.25,0.39,4.44,2.28,9.52,6.74,9.04,1.55,1.04,2.28,0.54,3.08,0.39
2016,65.1,15.1,93.8,15.41,9.85,0.4,3.98,2.38,9.25,6.21,7.72,1.78,1.24,2.38,0.61,3.25,0.4
2017,68.2,18.2,180.8,62.92,5.97,0.44,2.61,2.56,6.43,4.09,9.65,1.33,0.83,2.56,0.62,3.28,0.44
2018,68.1,21.1,153.6,28.82,14.71,0.5,7.3,3.09,20.38,11.8,12.27,1.17,0.72,3.09,0.74,3.29,0.5
