Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,79.6,28.6,24.6,23.02,21.08,0.97,20.42,1.53,31.31,31.59,12.06,2.44,1.54,1.53,0.03,2.69,0.97
2010,80.8,32.2,22.1,21.23,23.7,1.05,24.8,1.66,39.62,41.21,9.89,2.02,1.36,1.66,0.01,3.06,1.05
2011,81,33,33.7,22.02,25.77,1.05,27.12,1.73,45.95,45.02,23.86,1.91,1.45,1.73,0.01,3.2,1.05
2012,82.7,37.8,36,22.94,27.47,1.2,32.88,1.62,54.9,57.55,16.55,1.86,1.37,1.62,0,3.67,1.2
2013,83.1,37.7,39.3,22.6,30.13,1.23,37.03,1.65,60.54,60.02,592.62,1.74,1.22,1.65,0,3.85,1.23
2014,83.6,38.8,45.8,22.33,29.82,1.21,35.93,1.91,63.92,63.09,875.26,1.37,0.99,1.91,0,3.95,1.21
2015,85,45.8,39.3,19.83,32.3,1.28,41.29,1.95,79.9,78.31,650,1.35,1.03,1.95,0,4.43,1.28
2016,84.6,43.3,63.3,20.66,33.93,1.18,40.06,2.15,82.23,81.11,736.35,1.26,0.95,2.15,0,4.01,1.18
2017,84.2,43.8,48.9,21.67,34.14,1.12,38.15,2.05,80.2,78.65,541.89,1.28,0.9,2.05,0,3.41,1.12
2018,84.2,42.2,49.6,18.87,34.54,1.05,36.25,2.14,76,73.81,28.13,1.09,0.79,2.14,0,2.9,1.05
