Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,73,22.1,46.5,14.8,18.62,0.52,9.67,1.66,15.6,13.49,19.01,1.73,1.32,1.66,0.15,3.32,0.52
2010,71.9,22.4,45.7,14.81,19,0.47,8.95,1.95,16.24,13.11,17.91,1.08,0.73,1.95,0.23,3.45,0.47
2011,68,18.5,55.7,14.18,15.35,0.49,7.57,1.78,14.12,11.33,15.34,1.04,0.75,1.78,0.21,3.77,0.49
2012,67.4,20,63.8,14.45,16.51,0.48,7.86,1.8,14.09,11.53,16.52,1.16,0.86,1.8,0.2,3.54,0.48
2013,66.7,18.5,66.8,13.44,15.6,0.47,7.33,1.7,12.79,10.74,16.72,1.16,0.83,1.7,0.15,3.33,0.47
2014,67.7,20.7,66,12.59,19.04,0.43,8.11,1.77,14.07,11.76,18.43,1.39,0.89,1.77,0.2,3.13,0.43
2015,65.5,17.8,77.7,13.6,35.29,0.39,13.84,1.71,24.06,19.27,13.42,0.96,0.67,1.71,0.21,3.15,0.39
2016,64.6,16.7,95.7,14.32,13.58,0.38,5.13,1.74,8.84,7.37,12.06,1.12,0.81,1.74,0.24,3.13,0.38
2017,65.7,17.2,96.7,14.4,15.36,0.38,5.85,1.79,10.34,8.22,12.58,1.21,0.88,1.79,0.31,3.12,0.38
2018,65.4,15.4,51.4,8.83,23.72,0.38,9.05,1.85,16.51,12.38,15.46,1.2,0.91,1.85,0.29,3.31,0.38
