Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,82.2,31.3,65,20.29,17.27,0.31,5.33,2.37,11.71,8.46,9.78,1.66,1.12,2.37,0.48,2.77,0.31
2010,76,20.9,70.6,11.93,12.18,0.33,4.05,2.22,9.29,7.02,6.24,2.11,1.51,2.22,0.44,3.24,0.33
2011,77.6,27,61.4,31.52,14.84,0.35,5.23,2.29,11.78,8.58,8.59,2.06,1.78,2.29,0.43,3.74,0.35
2012,80.8,30.5,69.8,21.21,24.7,0.32,7.79,2.29,17.83,12.9,8.93,2.14,1.9,2.29,0.38,3.76,0.32
2013,81.4,31.7,62.3,27.4,42.65,0.29,12.29,2.26,27.94,19.65,12.11,2.41,1.79,2.26,0.4,3.84,0.29
2014,80.7,27.2,63,25.49,18.41,0.29,5.35,2.38,12.38,8.91,10,2.67,2.07,2.38,0.44,4.11,0.29
2015,80.3,26.6,82.7,22.2,14.25,0.29,4.13,2.59,10.24,7.11,8.48,1.49,1.16,2.59,0.45,3.83,0.29
2016,76.7,26,118,13.45,13.66,0.31,4.26,2.88,11.62,7.63,8.04,1.25,0.94,2.88,0.53,3.9,0.31
2017,78.6,26.8,77.8,0,40.55,0.3,12.41,2.41,32.58,19.91,10.69,1.35,1.03,2.41,0.47,3.87,0.3
2018,79,28,33.9,5.94,20.79,0.32,6.73,2.52,16.56,10.98,10.03,1.57,0.94,2.52,0.52,3.94,0.32
