Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,67.5,24.7,5.4,31.81,16.47,0.81,13.28,1.38,18.45,18.39,0,4.06,2.85,1.38,0,7.03,0.81
2010,68.8,25.6,19.8,26.38,17.4,0.73,12.76,1.52,18.5,16.11,0,4.75,3.5,1.52,0.14,8.39,0.73
2011,66.2,21.2,22.8,20.23,16.19,0.71,11.55,1.61,18.11,15.24,50.59,3.94,2.65,1.61,0.23,9.85,0.71
2012,67.9,21,26.6,23.87,14.99,0.68,10.14,1.54,15.95,13.1,0,4.34,3.05,1.54,0.2,9.43,0.68
2013,67,14.5,45.5,17,11.15,0.62,6.95,1.74,11.4,9.08,0,3.14,2.07,1.74,0.3,8.89,0.62
2014,66,20.7,72.6,55.6,5.32,0.58,3.08,2.06,5.84,4.22,0,2.17,1.47,2.06,0.38,8.88,0.58
2015,66.4,21.7,45,17.06,14.47,0.59,8.47,1.91,16.82,11.47,0,2.27,1.64,1.91,0.38,8.66,0.59
2016,66.2,20.5,34.6,14.26,14.54,0.62,8.98,2.14,18.24,11.36,0,2.5,1.7,2.14,0.7,8.18,0.62
2017,65.7,19.8,36.3,50.56,8.2,0.58,4.79,2.23,10.45,6.06,0,2.29,1.43,2.23,0.66,7.02,0.58
2018,65.7,18.8,58,0,26.12,0.55,14.38,2.32,32.75,18.33,0,2.02,1.25,2.32,0.72,6.38,0.55
