Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,8.4,7.3,0.9,34.19,4.39,1.52,6.66,2.5,17.22,12.24,11.54,0.82,0.67,2.5,0.38,55.73,1.52
2010,24.1,7.8,9.9,37.23,4.95,1.53,7.59,2.44,18.75,13.32,16.35,0.78,0.63,2.44,0.43,59.47,1.53
2011,24.2,7.7,12.8,35.39,5.08,1.55,7.85,2.4,19,13.39,16.76,0.85,0.69,2.4,0.46,42.93,1.55
2012,24.7,7.8,15.2,35.91,5.03,1.48,7.43,2.59,18.58,13.14,14.64,0.78,0.63,2.59,0.45,34.07,1.48
2013,24.3,7.3,18.6,36.37,4.62,1.5,6.91,2.55,17.76,12.53,13.59,0.73,0.58,2.55,0.46,30.63,1.5
2014,25.2,7.3,23.5,41.81,4.33,1.54,6.68,2.66,17.4,12.09,16.62,0.77,0.62,2.66,0.49,30.78,1.54
2015,23.2,6.6,27.8,42.64,3.72,1.58,5.88,3.29,17.54,10.82,13.95,0.74,0.61,3.29,0.75,33.71,1.58
2016,23.1,6.6,33.2,40.38,3.81,1.57,5.99,3.21,19.46,11.16,12.12,0.69,0.59,3.21,0.67,34.2,1.57
2017,23,7.1,31.3,22.82,5.28,1.53,8.06,2.91,24.54,15.23,12.82,0.73,0.62,2.91,0.6,31,1.53
2018,23.3,7.1,25.8,22.34,5.33,1.54,8.23,2.94,24.1,15.59,12.39,0.73,0.61,2.94,0.67,29.07,1.54
