Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,40.1,27.4,0,31.75,19.19,0.99,18.92,1.5,31.27,30.22,0,2.74,2.48,1.5,0,15.86,0.99
2010,39.4,28.2,0,24.42,21.48,1.06,22.84,1.57,35.28,34.69,0,2.01,1.72,1.57,0,16.89,1.06
2011,40.5,31.2,0,24.22,23.95,1.13,27.07,1.52,41.67,41.04,0,1.61,1.35,1.52,0,17.26,1.13
2012,43.9,35.3,0,25.16,26.67,1.07,28.54,1.49,42.84,42.01,0,1.5,1.24,1.49,0,13.48,1.07
2013,37.6,28.7,27.4,26.15,21.67,0.89,19.34,1.68,30.64,26.08,369.79,1.68,1.4,1.68,0.14,10.67,0.89
2014,38.6,28.7,28.5,26.13,21.61,0.83,18.01,2.08,33.61,26.2,140.28,1.08,0.82,2.08,0.26,9.82,0.83
2015,40.1,30.5,22.3,26.37,22.85,0.89,20.45,2.43,46.25,31.32,99.93,1.11,0.89,2.43,0.45,10.85,0.89
2016,39.1,27.8,24.8,25.56,21.19,0.7,14.93,2.51,36.9,21.95,43.15,1.35,1.22,2.51,0.59,8.71,0.7
2017,38.5,26.8,26.5,24.56,21.09,0.66,13.87,2.8,36.87,19.86,28.59,1.28,1.09,2.8,0.73,7.54,0.66
2018,38.3,26.7,23.7,18.34,22.41,0.72,16.07,3.41,49.36,24.41,23.5,1.12,0.99,3.41,0.87,7.07,0.72
