Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,89.9,24.8,0,44.9,13.12,0.45,5.9,1.49,8.31,6.92,206.91,2.93,2.74,1.49,0.2,8.4,0.45
2010,89.4,26.7,0,17.86,20.39,0.49,10.05,1.57,15.37,12.74,17.56,3.01,2.83,1.57,0.29,9.08,0.49
2011,89.6,28.4,0,19.55,19.75,0.49,9.72,1.55,15.18,12.37,16.46,3.02,2.84,1.55,0.26,8.63,0.49
2012,89,26.7,0,25.56,18.91,0.46,8.78,1.5,13.38,11.18,17.58,3.41,3.27,1.5,0.22,7.39,0.46
2013,85.5,11.1,0,18.58,7.15,0.4,2.85,1.54,4.33,3.98,6.28,2.65,2.47,1.54,0.22,6.13,0.4
2014,85,10.4,0,25.73,6.47,0.39,2.54,1.59,3.98,3.59,7.05,1.84,1.74,1.59,0.13,5.74,0.39
2015,84.5,18.9,0,27.95,13.13,0.42,5.59,1.67,9.14,7.89,14.61,2.18,2.11,1.67,0.27,6.1,0.42
2016,86,25.5,0,18.56,19.96,0.48,9.57,1.71,16.2,13.02,21.37,2.07,1.99,1.71,0.26,7.3,0.48
2017,86.2,29.7,0,20.76,23.2,0.54,12.44,1.72,21.33,17.29,29.73,2.05,2,1.72,0.22,8.33,0.54
2018,86.8,31.5,0,7.27,28.69,0.54,15.56,2,29.07,21.72,32.31,1.13,1.06,2,0.44,8.98,0.54
