Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,45.4,20.6,48.7,30.27,15.03,0.36,5.43,4.76,25.6,22.66,58.2,1.1,0.18,4.76,0.01,12,0.36
2010,43.7,19.8,56.3,35.2,13.57,0.34,4.64,4.9,22.43,14.72,217.65,1.11,0.14,4.9,0.01,12.68,0.34
2011,38.6,13.8,56.4,35.11,13.43,0.31,4.11,5.7,21.83,15.73,225.73,1.07,0.1,5.7,0.01,13.44,0.31
2012,41.5,18.4,54.3,34.57,13.02,0.33,4.27,5.04,22.9,21.98,276.6,1.08,0.13,5.04,0,14.99,0.33
2013,41.2,18,57.8,34.55,12.43,0.36,4.46,5.21,22.85,22.21,230.04,1.06,0.13,5.21,0,15.76,0.36
2014,40.8,18.2,61.4,33.94,12.42,0.38,4.71,4.81,23.58,23.01,373.89,1.08,0.24,4.81,0,16.21,0.38
2015,41.2,18.4,57.6,33.52,13.28,0.34,4.46,6.89,25.31,24.68,319.57,1.06,0.12,6.89,0,15.09,0.34
2016,41.4,18.8,64.1,33.17,12.79,0.3,3.89,9.74,32.13,26.33,40.76,1.1,0.14,9.74,0.45,17.19,0.3
2017,41.3,18.8,56.9,31.52,14,0.31,4.29,9.35,40.99,27.84,32.64,1.1,0.15,9.35,0.5,16.9,0.31
2018,41.1,18.8,60,25.35,12.16,0.36,4.36,10.72,43.59,28.58,22.14,1.05,0.14,10.72,0.58,16.94,0.36
