Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,37.7,4.8,0,0,-2.97,0.77,-2.29,1.89,-4.84,1.02,0.53,1.36,1.04,1.89,0.22,5.27,0.77
2010,46.2,22.4,0,0,19.83,1.01,20.11,1.43,32.61,26.52,12.94,1.92,1.5,1.43,0,7.68,1.01
2011,49.1,25.2,16,1.6,23.63,1.01,23.98,1.22,31.44,29.57,141.25,3.98,3.31,1.22,0,7.83,1.01
2012,48.3,24.8,24.9,3.76,23.82,0.89,21.21,1.18,25.45,25.44,586,4.89,4.12,1.18,0,5.77,0.89
2013,47.5,22,34,2.82,21.9,0.8,17.59,1.18,20.81,20.68,569,4.3,3.39,1.18,0,4.33,0.8
2014,44,13.5,78.2,9.65,6.16,0.61,3.78,3.23,8.58,6.13,4.11,3.77,2.35,3.23,1.68,4.69,0.61
2015,52.1,25.9,38.6,5.18,19.99,0.65,12.94,2.25,34.28,17.66,8.68,3.37,2.54,2.25,0.82,5.21,0.65
2016,44.9,4.4,0,0,-13.13,0.44,-5.74,2.64,-14.73,-4.03,-0.89,2.31,1.71,2.64,0.7,6.67,0.44
2017,48.2,15.1,272.5,1.92,9.59,0.34,3.24,2.68,8.64,5.95,5.02,6.26,5.4,2.68,0.86,6.91,0.34
2018,51.5,25.7,23.2,0,58.8,0.4,23.45,1.88,52.23,33.44,8.24,3.9,3.29,1.88,0.66,7.97,0.4
