Date,Gross Margin,Operating Margin,Payout Ratio,Tax Rate,Net Margin,Asset Turnover,Return on Assets,Financial Leverage,Return on Equity,Return on Invested Capital,Interest Coverage,Current Ratio,Quick Ratio,Financial Leverage,Debt to Equity Ratio,Fixed Assets Turnover,Asset Turnover
2009,80.2,8.8,0,40.52,6.18,0.66,4.1,2.36,9.41,7.46,72.19,1.88,1.72,2.36,0.44,15.66,0.66
2010,80.5,5.9,0,33.18,3.89,0.59,2.32,2.42,5.56,3.79,5.19,0.84,0.72,2.42,0.39,6.95,0.59
2011,78.4,-1.5,0,0,-0.51,0.62,-0.32,2.5,-0.79,-0.71,-0.95,0.72,0.63,2.5,0,4.95,0.62
2012,77.6,-3.6,0,0,-8.87,0.63,-5.58,2.33,-13.4,-10.76,-3.13,0.69,0.6,2.33,0,5.39,0.63
2013,76.2,-7,0,0,-5.7,0.55,-3.16,2.99,-8.54,-3.62,-3.64,0.67,0.55,2.99,0.63,4.41,0.55
2014,76,-2.7,0,0,-4.89,0.54,-2.65,2.69,-7.46,-3.83,-1.91,0.81,0.66,2.69,0.55,4.54,0.54
2015,75.2,1.7,0,173.78,-0.71,0.57,-0.4,2.55,-1.06,-1.37,1.89,0.77,0.69,2.55,0.4,4.69,0.57
2016,73.4,0.8,0,0,2.14,0.55,1.18,2.34,2.87,7.58,1.29,0.83,0.75,2.34,0.36,4.79,0.55
2017,73.5,2.2,0,36.93,1.22,0.54,0.66,2.24,1.51,1.44,3.32,0.92,0.84,2.24,0.15,5.61,0.54
2018,74,4,0,0,8.36,0.51,4.29,1.97,8.88,7.92,7.38,0.95,0.82,1.97,0.2,6.65,0.51
